사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
머슬 바디 핏,2018-12-04,,,,,영업/정상,"강원도 강릉시 홍제동 1019-2 201,2호","강원도 강릉시 선수촌로 79-19, 2층 201,2호 (홍제동)","강원도 강릉시 선수촌로 79-19, 2층 201,2호 (홍제동)",0,,,2018
몬스터짐 입암점,2018-12-04,,,,,영업/정상,강원도 강릉시 입암동 238번지,"강원도 강릉시 성덕로 316-17, A동 2층 202호 (입암동)","강원도 강릉시 성덕로 316-17, A동 2층 202호 (입암동)",0,,,2018
청년헬스장,2019-02-13,,,,,영업/정상,강원도 춘천시 석사동 925-3 1층,"강원도 춘천시 스무숲1길 60, 1층 (석사동)","강원도 춘천시 스무숲1길 60, 1층 (석사동)",0,,,2019
팀키스짐,2019-01-09,,,,,영업/정상,강원도 원주시 무실동 1846-1번지,"강원도 원주시 능라동길 26, 4층 (무실동)","강원도 원주시 능라동길 26, 4층 (무실동)",0,,,2019
로드짐휘트니스,2019-03-07,,,,,영업/정상,강원도 원주시 단구동 267번지 현대아카데미프라자,"강원도 원주시 늘품로 187-58, 현대아카데미프라자 6층 (단구동)","강원도 원주시 늘품로 187-58, 현대아카데미프라자 6층 (단구동)",0,,,2019
청담사우나헬스,2019-04-08,,,,,영업/정상,강원도 원주시 단구동 997-6번지,"강원도 원주시 남원로534번길 64, 3층 (단구동)","강원도 원주시 남원로534번길 64, 3층 (단구동)",0,,,2019
바디에딕트 유천점,2019-05-20,,,,,영업/정상,강원도 강릉시 홍제동 1020-3번지,"강원도 강릉시 선수촌로 77, 7층 (홍제동)","강원도 강릉시 선수촌로 77, 7층 (홍제동)",0,,,2019
CSgym,2019-05-13,,,,,영업/정상,강원도 춘천시 석사동 산 1-1,"강원도 춘천시 세실로 114, 2층 (석사동)","강원도 춘천시 세실로 114, 2층 (석사동)",0,,,2019
바디디자인(BODY DESIGN),2019-06-19,,,,,영업/정상,강원도 춘천시 온의동 65-32,"강원도 춘천시 영서로 2347-1, 3층 (온의동)","강원도 춘천시 영서로 2347-1, 3층 (온의동)",0,,,2019
24시 웰스포짐,2019-06-19,,,,,영업/정상,강원도 강릉시 주문진읍 교항리 120-23,"강원도 강릉시 주문진읍 신리천로 26, 2~3층","강원도 강릉시 주문진읍 신리천로 26, 2~3층",0,,,2019
커짐(KURGYM),2019-04-02,,,,,영업/정상,강원도 삼척시 남양동 329-15 황금회관,"강원도 삼척시 중앙로 221, 황금회관 3층 (남양동)","강원도 삼척시 중앙로 221, 황금회관 3층 (남양동)",0,,,2019
바디블룸(BODY BLOOM),2019-06-21,,,,,영업/정상,강원도 춘천시 봉의동 105-10번지,강원도 춘천시 봉의산길 14 (봉의동),강원도 춘천시 봉의산길 14 (봉의동),0,,,2019
에스휘트니스,2019-07-01,,,,,영업/정상,강원도 춘천시 퇴계동 891-2번지,"강원도 춘천시 행촌로 27, 지하1층 (퇴계동)","강원도 춘천시 행촌로 27, 지하1층 (퇴계동)",0,,,2019
트로이짐,2019-09-05,,,,,영업/정상,강원도 속초시 조양동 607번지,"강원도 속초시 청대로 223, 2층 (조양동)","강원도 속초시 청대로 223, 2층 (조양동)",0,,,2019
콩짐,2019-09-06,,,,,영업/정상,강원도 삼척시 정상동 344-3번지 금강프라자,"강원도 삼척시 정상안길 97, 금강프라자 3층 (정상동)","강원도 삼척시 정상안길 97, 금강프라자 3층 (정상동)",0,,,2019
청년헬스장,2019-09-11,,,,,영업/정상,강원도 춘천시 후평동 67-14번지,"강원도 춘천시 백령로 178, 4층 (후평동)","강원도 춘천시 백령로 178, 4층 (후평동)",0,,,2019
파리휘트니스,2019-07-31,,,,,영업/정상,강원도 춘천시 효자동 643,강원도 춘천시 춘천로 204 (효자동),강원도 춘천시 춘천로 204 (효자동),0,,,2019
청년헬스장(애막골점),2019-12-24,,,,,영업/정상,강원도 춘천시 석사동 729-1번지,"강원도 춘천시 후석로186번길 18, 2층 (석사동)","강원도 춘천시 후석로186번길 18, 2층 (석사동)",0,,,2019
하이퍼짐,2019-11-01,,,,,영업/정상,강원도 춘천시 효자동 17-8,"강원도 춘천시 서부대성로239번길 29, 효자동 1층 (효자동)","강원도 춘천시 서부대성로239번길 29, 효자동 1층 (효자동)",0,,,2019
새로워GYM 회산점,2019-12-19,,,,,영업/정상,강원도 강릉시 회산동 446-4번지,"강원도 강릉시 회산로339번길 12, 2층 (회산동)","강원도 강릉시 회산로339번길 12, 2층 (회산동)",0,,,2019
바디컨디션클럽,2019-11-07,,,,,영업/정상,강원도 횡성군 둔내면 둔방내리 108-9,"강원도 횡성군 둔내면 둔내로 25, 2층","강원도 횡성군 둔내면 둔내로 25, 2층",0,,,2019
몬스터짐 교동택지점,2019-11-06,,,,,영업/정상,강원도 강릉시 교동 1889-3번지,"강원도 강릉시 솔올로5번길 3, 5, 6층 (교동)","강원도 강릉시 솔올로5번길 3, 5, 6층 (교동)",0,,,2019
코어&밸런스트레이닝센터,2019-10-08,,,,,영업/정상,강원도 춘천시 퇴계동 1079번지,"강원도 춘천시 남춘로26번길 14, 2층 (퇴계동)","강원도 춘천시 남춘로26번길 14, 2층 (퇴계동)",0,,,2019
MASTER ZYM(마스터짐),2022-02-17,,,,,영업/정상,강원도 철원군 갈말읍 신철원리 709-1,"강원도 철원군 갈말읍 삼부연로 20, 2~3층","강원도 철원군 갈말읍 삼부연로 20, 2~3층",0,,,2022
오르소 ORSO,2022-01-28,,,,,영업/정상,강원도 강릉시 홍제동 365-1,"강원도 강릉시 경강로 1928-9, 3층 (홍제동)","강원도 강릉시 경강로 1928-9, 3층 (홍제동)",0,,,2022
오하이오 짐(OHIO GYM),2022-03-29,,,,,영업/정상,강원도 춘천시 퇴계동 1192-5,"강원도 춘천시 우묵길 26, 2층 (퇴계동)","강원도 춘천시 우묵길 26, 2층 (퇴계동)",0,,,2022
피트니스 진부,2022-01-27,,,,,영업/정상,강원도 평창군 진부면 하진부리 88-1 202호,"강원도 평창군 진부면 진부중앙로 88, 202호","강원도 평창군 진부면 진부중앙로 88, 202호",0,,,2022
저스트원짐(JUSTONEGYM),2022-01-27,,,,,영업/정상,강원도 춘천시 퇴계동 183-1,"강원도 춘천시 김유정로 1891, 3층 (퇴계동)","강원도 춘천시 김유정로 1891, 3층 (퇴계동)",0,,,2022
새로워GYM 교동점,2022-02-08,,,,,영업/정상,강원도 강릉시 교동 713-15,"강원도 강릉시 가작로 151, 3층 (교동)","강원도 강릉시 가작로 151, 3층 (교동)",0,,,2022
사재혁 역도 체육관,2022-02-23,,,,,영업/정상,강원도 홍천군 홍천읍 연봉리 492-1 다온주택,"강원도 홍천군 홍천읍 연봉중앙로 88, 다온주택 지하1층","강원도 홍천군 홍천읍 연봉중앙로 88, 다온주택 지하1층",0,,,2022
율핏 PT&필라테스,2022-03-14,,,,,영업/정상,강원도 원주시 무실동 1857-1,"강원도 원주시 능라동길 65, 9층 (무실동)","강원도 원주시 능라동길 65, 9층 (무실동)",0,,,2022
더피티라운지,2022-01-27,,,,,영업/정상,강원도 원주시 반곡동 2050-10,"강원도 원주시 버들만이길 3-1, 1층 (반곡동)","강원도 원주시 버들만이길 3-1, 1층 (반곡동)",0,,,2022
UPtension PT studio,2022-02-04,,,,,영업/정상,강원도 양양군 양양읍 남문리 100-5,강원도 양양군 양양읍 남문6길 8,강원도 양양군 양양읍 남문6길 8,0,,,2022
UPtension PT studio,2022-02-14,,,,,영업/정상,강원도 양양군 양양읍 남문리 100-5,"강원도 양양군 양양읍 남문6길 8, 1층","강원도 양양군 양양읍 남문6길 8, 1층",0,,,2022
NKGYM,2022-02-14,,,,,영업/정상,강원도 양양군 양양읍 남문리 205-1,"강원도 양양군 양양읍 남문9길 15-1, 2층","강원도 양양군 양양읍 남문9길 15-1, 2층",0,,,2022
HK PT,2022-03-15,,,,,영업/정상,강원도 강릉시 입암동 708-3,"강원도 강릉시 성덕포남로 45-8, 2층 (입암동)","강원도 강릉시 성덕포남로 45-8, 2층 (입암동)",0,,,2022
청년헬스(석사점),2022-03-16,,,,,영업/정상,강원도 춘천시 석사동 818-5,"강원도 춘천시 퇴계로 229, 2층 (석사동)","강원도 춘천시 퇴계로 229, 2층 (석사동)",0,,,2022
스타트라인,2022-03-16,,,,,영업/정상,강원도 원주시 판부면 서곡리 2011-4,"강원도 원주시 판부면 오성마을길 57-6, 1층","강원도 원주시 판부면 오성마을길 57-6, 1층",0,,,2022
DM 휘트니스 대동점,2022-03-18,,,,,영업/정상,강원도 동해시 나안동 174-1,"강원도 동해시 청운1길 64, 401호 (나안동)","강원도 동해시 청운1길 64, 401호 (나안동)",0,,,2022
오짐,2022-03-28,,,,,영업/정상,강원도 철원군 동송읍 이평리 668-3 KT,"강원도 철원군 동송읍 이평로 15, 2층","강원도 철원군 동송읍 이평로 15, 2층",0,,,2022
동아헬스클럽,2005-12-22,,,,,영업/정상,강원도 강릉시 임당동 129-2번지,강원도 강릉시 경강로 2080 (임당동),강원도 강릉시 경강로 2080 (임당동),0,,,2005
오션 스파 짐,2006-06-28,,,,,영업/정상,강원도 강릉시 연곡면 영진리 359번지 3층호,"강원도 강릉시 연곡면 연주로 324, 3층","강원도 강릉시 연곡면 연주로 324, 3층",0,,,2006
러쉬헬스,2006-09-27,,,,,영업/정상,강원도 강릉시 교동 1889-6번지 현대빌딩 5층,"강원도 강릉시 정원로 44 (교동,현대빌딩 5층)","강원도 강릉시 정원로 44 (교동,현대빌딩 5층)",0,,,2006
균태짐,2008-07-01,,,,,영업/정상,강원도 강릉시 홍제동 996-8번지 2층,"강원도 강릉시 홍제로71번길 24 (홍제동,2층)","강원도 강릉시 홍제로71번길 24 (홍제동,2층)",0,,,2008
스마일 헬스클럽,2010-04-27,,,,,영업/정상,강원도 강릉시 입암동 429-2번지 1층,"강원도 강릉시 입암로 51 (입암동,1층)","강원도 강릉시 입암로 51 (입암동,1층)",0,,,2010
로하스 헬스클럽,2010-12-10,,,,,영업/정상,강원도 강릉시 포남동 533-5번지,"강원도 강릉시 강릉대로419번길 28-4, 2, 3층 (포남동)","강원도 강릉시 강릉대로419번길 28-4, 2, 3층 (포남동)",0,,,2010
DM헬스클럽,2012-04-16,,,,,영업/정상,강원도 강릉시 옥천동 216-1번지 3층,"강원도 강릉시 옥가로 43, 3층 (옥천동)","강원도 강릉시 옥가로 43, 3층 (옥천동)",0,,,2012
로얄헬스,1990-02-08,,,,,영업/정상,강원도 원주시 명륜동 833-1,강원도 원주시 남원로469번길 7 (명륜동),강원도 원주시 남원로469번길 7 (명륜동),0,,,1990
비타민헬스,1996-05-06,,,,,영업/정상,강원도 원주시 봉산동 1194-2번지 4층,강원도 원주시 행구로 79 (봉산동),강원도 원주시 행구로 79 (봉산동),0,,,1996
성일헬스클럽,1997-02-05,,,,,영업/정상,강원도 횡성군 횡성읍 읍상리 689-2번지 1층,강원도 횡성군 횡성읍 앞들동1로 21 (1층),강원도 횡성군 횡성읍 앞들동1로 21 (1층),0,,,1997
머슬크루 헬스클럽,2015-12-14,,,,,영업/정상,강원도 횡성군 횡성읍 읍상리 276-6번지,강원도 횡성군 횡성읍 문정로 34-1,강원도 횡성군 횡성읍 문정로 34-1,0,,,2015
강남스포월드,2002-04-18,,,,,영업/정상,강원도 강릉시 입암동 102-1번지,강원도 강릉시 월대산로 56-7 (입암동),강원도 강릉시 월대산로 56-7 (입암동),0,,,2002
마강호헬스클럽,1995-10-17,,,,,영업/정상,강원도 강릉시 포남동 1155-17,강원도 강릉시 남구길18번길 11 (포남동),강원도 강릉시 남구길18번길 11 (포남동),0,,,1995
고려헬스,2001-05-23,,,,,영업/정상,강원도 강릉시 포남동 1291번지,강원도 강릉시 하평1길 20 (포남동),강원도 강릉시 하평1길 20 (포남동),0,,,2001
성신스포츠클럽,2002-04-11,,,,,영업/정상,강원도 강릉시 교동 1854-2번지 401호,"강원도 강릉시 교동광장로 145, 4층 1호 (교동)","강원도 강릉시 교동광장로 145, 4층 1호 (교동)",0,,,2002
라인헬스클럽,2003-03-19,,,,,영업/정상,강원도 강릉시 포남동 1165-1번지,강원도 강릉시 강릉대로 380 (포남동),강원도 강릉시 강릉대로 380 (포남동),0,,,2003
오아시스헬스,2003-10-09,,,,,영업/정상,강원도 강릉시 교동 1882-5번지,강원도 강릉시 솔올로5번길 53 (교동),강원도 강릉시 솔올로5번길 53 (교동),0,,,2003
반트휘트니스클럽,2013-01-23,,,,,영업/정상,강원도 강릉시 교동 1891-3번지 3.4층호,"강원도 강릉시 솔올로5번길 33, 3,4층 (교동)","강원도 강릉시 솔올로5번길 33, 3,4층 (교동)",0,,,2013
강릉헬스,2013-03-08,,,,,영업/정상,강원도 강릉시 입암동 113-2번지 드림타워 3층,강원도 강릉시 입암로 139 (입암동),강원도 강릉시 입암로 139 (입암동),0,,,2013
바디제트(Body-Z),2013-10-07,,,,,영업/정상,강원도 강릉시 노암동 620-3번지 2층,"강원도 강릉시 남부로137번안길 17, 2층 (노암동)","강원도 강릉시 남부로137번안길 17, 2층 (노암동)",0,,,2013
엠에프 헬스클럽 포남점,2014-04-16,,,,,영업/정상,강원도 강릉시 포남동 1291-5번지 4층호,"강원도 강릉시 하평2길 11, 4층 (포남동)","강원도 강릉시 하평2길 11, 4층 (포남동)",0,,,2014
엠에프 휘트니스 대학로점,2014-08-22,,,,,영업/정상,강원도 강릉시 금학동 13-4 1동 201호,"강원도 강릉시 신대학길 35-4, 1동 2층 1호 (금학동)","강원도 강릉시 신대학길 35-4, 1동 2층 1호 (금학동)",0,,,2014
팀메이트 P.T STUDIO,2014-12-11,,,,,영업/정상,강원도 강릉시 포남동 1193-2번지 3층호,"강원도 강릉시 하평길 58, 3층 (포남동)","강원도 강릉시 하평길 58, 3층 (포남동)",0,,,2014
J.GYM,2015-06-04,,,,,영업/정상,강원도 강릉시 주문진읍 교항리 68-4번지,강원도 강릉시 주문진읍 신리3길 10,강원도 강릉시 주문진읍 신리3길 10,0,,,2015
