사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
라이온헬스,1996-09-16,,,,20190603.0,폐업,대구광역시 중구 남산동 937-11번지,대구광역시 중구 달구벌대로 2078 (남산동),대구광역시 중구 달구벌대로 2078 (남산동),1,2019-06-03,2019,1996
황실헬스,1999-03-12,,,,20190603.0,폐업,대구광역시 중구 남산동 2466-92번지,대구광역시 중구 남산로13길 9 (남산동),대구광역시 중구 남산로13길 9 (남산동),1,2019-06-03,2019,1999
진석스포츠클럽 헬스클럽,2011-10-10,,,,20190304.0,폐업,대구광역시 중구 삼덕동2가 210-1번지 지하1층,"대구광역시 중구 동덕로 115, 지하1층 (삼덕동2가)","대구광역시 중구 동덕로 115, 지하1층 (삼덕동2가)",1,2019-03-04,2019,2011
슬림 휘트니스 클럽,2014-09-24,,,,,영업/정상,대구광역시 달성군 다사읍 죽곡리 808-1번지 2~3층,"대구광역시 달성군 다사읍 죽곡1길 9, 2~3층","대구광역시 달성군 다사읍 죽곡1길 9, 2~3층",0,,,2014
다짐휘트니스,2016-05-02,,,,,영업/정상,대구광역시 달성군 화원읍 구라리 1737-14번지 4층,"대구광역시 달성군 화원읍 비슬로 2727, 4층","대구광역시 달성군 화원읍 비슬로 2727, 4층",0,,,2016
디젤 피트니스,2016-05-09,,,,,영업/정상,대구광역시 달성군 옥포읍 교항리 2902번지,대구광역시 달성군 옥포읍 돌미상업로1길 2,대구광역시 달성군 옥포읍 돌미상업로1길 2,0,,,2016
(주)뷰티니스 대구지점,2016-12-13,,,,,영업/정상,대구광역시 달성군 유가읍 봉리 606 하이젠스타 9층,"대구광역시 달성군 유가읍 테크노중앙대로 254, 하이젠스타 9층","대구광역시 달성군 유가읍 테크노중앙대로 254, 하이젠스타 9층",0,,,2016
다짐휘트니스,2017-01-04,,,,,영업/정상,대구광역시 달성군 다사읍 세천리 1580-9번지 3층,"대구광역시 달성군 다사읍 세천로 157, 3층","대구광역시 달성군 다사읍 세천로 157, 3층",0,,,2017
브로 인 제이,2017-06-12,,,,,영업/정상,대구광역시 달성군 다사읍 서재리 230번지 3~4층,"대구광역시 달성군 다사읍 서재로 31, 성지빌딩 3~4층","대구광역시 달성군 다사읍 서재로 31, 성지빌딩 3~4층",0,,,2017
레드짐 피트니스,2017-09-15,,,,,영업/정상,대구광역시 달성군 현풍읍 중리 497-3 8층,"대구광역시 달성군 현풍읍 테크노상업로 26, 8층","대구광역시 달성군 현풍읍 테크노상업로 26, 8층",0,,,2017
GYM ATLAS,2017-11-02,,,,,영업/정상,대구광역시 달성군 가창면 용계리 30-7번지 가창농협,"대구광역시 달성군 가창면 가창로 1122, 지하1층","대구광역시 달성군 가창면 가창로 1122, 지하1층",0,,,2017
Team Shark,2017-12-22,,,,,영업/정상,대구광역시 달성군 다사읍 세천리 1592-1번지,"대구광역시 달성군 다사읍 세천남로 8, 해바라기세천플라자 3층","대구광역시 달성군 다사읍 세천남로 8, 해바라기세천플라자 3층",0,,,2017
클락해치 VIP 트레이닝센터,2018-12-26,,,,,영업/정상,대구광역시 수성구 범어동 436-9번지 범어빌딩,"대구광역시 수성구 국채보상로 944, 범어빌딩 2층 (범어동)","대구광역시 수성구 국채보상로 944, 범어빌딩 2층 (범어동)",0,,,2018
뉴대구헬스,2019-01-21,,,,,영업/정상,대구광역시 서구 내당동 245-9번지,대구광역시 서구 서대구로 45 (내당동),대구광역시 서구 서대구로 45 (내당동),0,,,2019
히든짐,2019-01-17,,,,,영업/정상,대구광역시 북구 태전동 1124번지,"대구광역시 북구 매전로 80, 3층 301호 (태전동)","대구광역시 북구 매전로 80, 3층 301호 (태전동)",0,,,2019
WR웰니스짐,2019-02-20,,,,,영업/정상,대구광역시 수성구 황금동 227-1 황금빌딩,"대구광역시 수성구 청수로 284, 황금빌딩 2층 (황금동)","대구광역시 수성구 청수로 284, 황금빌딩 2층 (황금동)",0,,,2019
센텀스파휘트니스,2019-02-11,,,,,영업/정상,대구광역시 중구 삼덕동2가 210-1번지 진석타워 지하1층,"대구광역시 중구 동덕로 115, 진석타워 (삼덕동2가)","대구광역시 중구 동덕로 115, 진석타워 (삼덕동2가)",0,,,2019
