»ç¾÷Àå¸í,ÀÎÇã°¡ÀÏÀÚ,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,ÈÞ¾÷½ÃÀÛÀÏÀÚ,ÈÞ¾÷Á¾·áÀÏÀÚ,Æó¾÷ÀÏÀÚ,¿µ¾÷»óÅÂ¸í,¼ÒÀçÁöÀüÃ¼ÁÖ¼Ò,µµ·Î¸íÀüÃ¼ÁÖ¼Ò,ÁÖ¼Ò,"Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼Ò¿©ºÎ","Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼ÒÀÏÀÚ","Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼Ò¿¬µµ",ÀÎÇã°¡¿¬µµ
Áß°î¹®È­Ã¼À°¼¾ÅÍ,2008-10-24,20150707.0,,,,Ãë¼Ò/¸»¼Ò/¸¸·á/Á¤Áö/ÁßÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 168-8¹øÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿·Î 433 (Áß°îµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿·Î 433 (Áß°îµ¿),1,2015-07-07,2015,2008
Á¾·Îµ¿ºÎ¿©¼º¹®È­¼¾ÅÍ,2004-07-13,20150824.0,,,,Ãë¼Ò/¸»¼Ò/¸¸·á/Á¤Áö/ÁßÁö,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢½Åµ¿ 596-2¹øÁö,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢½Å±æ 124 (Ã¢½Åµ¿),¼­¿ïÆ¯º°½Ã Á¾·Î±¸ Ã¢½Å±æ 124 (Ã¢½Åµ¿),1,2015-08-24,2015,2004
Á¾·ÎÃ»¼Ò³â¹®È­¼¾ÅÍ,2004-11-11,20150824.0,,,,Ãë¼Ò/¸»¼Ò/¸¸·á/Á¤Áö/ÁßÁö,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¸í·û3°¡ 1-1042¹øÁö,¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¸í·û±æ 90 (¸í·û3°¡),¼­¿ïÆ¯º°½Ã Á¾·Î±¸ ¸í·û±æ 90 (¸í·û3°¡),1,2015-08-24,2015,2004
µ¿´ë¹®±¸¹ÎÃ¼À°¼¾ÅÍ,2004-07-15,20150904.0,,,,Ãë¼Ò/¸»¼Ò/¸¸·á/Á¤Áö/ÁßÁö,¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ Àå¾Èµ¿ 356¹øÁö,"¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ Àå¾Èº¢²É·Î 67 (Àå¾Èµ¿, µ¿´ë¹®±¸¹Î Ã¼À°¼¾ÅÍ)","¼­¿ïÆ¯º°½Ã µ¿´ë¹®±¸ Àå¾Èº¢²É·Î 67 (Àå¾Èµ¿, µ¿´ë¹®±¸¹Î Ã¼À°¼¾ÅÍ)",1,2015-09-04,2015,2004
ÃÊÄÝ·¿ ÈÖÆ®´Ï½º(¹«´ÜÆó¾÷),2010-11-02,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 203-7¹øÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤³ª·ç·Î 566 (±¸ÀÇµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤³ª·ç·Î 566 (±¸ÀÇµ¿),0,,,2010
À£ÇÃ·¯½º,2010-11-19,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 663-21¹øÁö,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾ç·Î5±æ 33 (ÀÚ¾çµ¿, ¿ÍÀÌ¿¥ÇÁ¶óÁ¨½ºÆÄ)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾ç·Î5±æ 33 (ÀÚ¾çµ¿, ¿ÍÀÌ¿¥ÇÁ¶óÁ¨½ºÆÄ)",0,,,2010
ÄÚ¿¢½ºÁü Áß°îÁ¡,2010-11-24,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 79-9¹øÁö 5Ãþ,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¿ë¸¶»ê·Î 44, 5Ãþ (Áß°îµ¿, »ï°æºôµù)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¿ë¸¶»ê·Î 44, 5Ãþ (Áß°îµ¿, »ï°æºôµù)",0,,,2010
¹Ùµð ÆÛÆ÷¸Õ½º Áü,2011-12-02,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 214-6 °­º¯¸®Ä¡Å¸¿ö ÁöÇÏ1Ãþ,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇ°­º¯·Î 86 (±¸ÀÇµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇ°­º¯·Î 86 (±¸ÀÇµ¿),0,,,2011
ÃÊÄÝ¸´ ÈÖÆ®´Ï½º,2011-12-05,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 164-1¹øÁö 3Ãþ,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿·Î 373, 3Ãþ (Áß°îµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿·Î 373, 3Ãþ (Áß°îµ¿)",0,,,2011
°ñµåÇï½º,2002-10-17,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 903-12¹øÁö,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈï´ë·Î50±æ 12-6  (½ÃÈïµ¿),¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈï´ë·Î50±æ 12-6  (½ÃÈïµ¿),0,,,2002
