사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
레드핏,2019-02-20,,,,,영업/정상,세종특별자치시 나성동 782번지 하해빌딩,"세종특별자치시 나성로 41, 하해빌딩 401호 (나성동)","세종특별자치시 나성로 41, 하해빌딩 401호 (나성동)",0,,,2019
바디피티,2019-10-01,,,,,영업/정상,세종특별자치시 새롬동 341-74 크리스마스빌딩,"세종특별자치시 새롬중앙로 34, 크리스마스빌딩 6층 615~617호 (새롬동)","세종특별자치시 새롬중앙로 34, 크리스마스빌딩 6층 615~617호 (새롬동)",0,,,2019
프라임 피트니스,2022-04-12,,,,,영업/정상,세종특별자치시 고운동 1379 고운드림,"세종특별자치시 마음로 272-22, 고운드림 801,802,803호 (고운동)","세종특별자치시 마음로 272-22, 고운드림 801,802,803호 (고운동)",0,,,2022
길라잡이 체육관(다정점),2022-04-08,,,,,영업/정상,세종특별자치시 다정동 933 페스티발2,"세종특별자치시 다정중앙로 52, 페스티발2 410~412호 (다정동)","세종특별자치시 다정중앙로 52, 페스티발2 410~412호 (다정동)",0,,,2022
스포인 휘트니스,2019-12-05,,,,,영업/정상,세종특별자치시 다정동 7-6번지 리치타워,"세종특별자치시 다정중앙로 40, 리치타워 5층 509~511호 (다정동)","세종특별자치시 다정중앙로 40, 리치타워 5층 509~511호 (다정동)",0,,,2019
BODY PT 보람점,2019-11-26,,,,,영업/정상,세종특별자치시 보람동 628-4 골드타워,"세종특별자치시 호려울로 51, 골드타워 203,204,207,209호 (보람동)","세종특별자치시 호려울로 51, 골드타워 203,204,207,209호 (보람동)",0,,,2019
인더썬(IN THE SUN),2019-11-27,,,,,영업/정상,세종특별자치시 조치원읍 죽림리 114-1 세종럭스스퀘어 506호,"세종특별자치시 조치원읍 세종로 2282, 세종럭스스퀘어 506호","세종특별자치시 조치원읍 세종로 2282, 세종럭스스퀘어 506호",0,,,2019
지스타엔터컴,2022-03-02,,,,,영업/정상,세종특별자치시 고운동 2095 아성프라자,"세종특별자치시 세종로 1215, 아성프라자 503~505호 (고운동)","세종특별자치시 세종로 1215, 아성프라자 503~505호 (고운동)",0,,,2022
워너비짐,2022-03-04,,,,,영업/정상,세종특별자치시 조치원읍 침산리 253-3,"세종특별자치시 조치원읍 행복5길 27-3, 1층","세종특별자치시 조치원읍 행복5길 27-3, 1층",0,,,2022
플레토 피트니스클럽,2020-01-17,,,,,영업/정상,세종특별자치시 고운동 산 167번지 아성프라자,"세종특별자치시 세종로 1215, 아성프라자 4층 (고운동)","세종특별자치시 세종로 1215, 아성프라자 4층 (고운동)",0,,,2020
