사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
삼호 헬스,2012-09-28,20121130.0,,,,취소/말소/만료/정지/중지,인천광역시 연수구 연수동 596-6번지 303호,"인천광역시 연수구 용담로 111, 303호 (연수동)","인천광역시 연수구 용담로 111, 303호 (연수동)",1,2012-11-30,2012,2012
림즈짐,2018-11-29,,,,,영업/정상,인천광역시 미추홀구 주안동 1552-9번지,"인천광역시 미추홀구 경원대로 812-1, 2층 (주안동)","인천광역시 미추홀구 경원대로 812-1, 2층 (주안동)",0,,,2018
팀윤짐(송도3호점),2019-01-07,,,,,영업/정상,인천광역시 연수구 송도동 8-19 701호,"인천광역시 연수구 하모니로 124, 701호 (송도동)","인천광역시 연수구 하모니로 124, 701호 (송도동)",0,,,2019
맥스 휘트니스 클럽,2019-01-23,,,,,영업/정상,인천광역시 강화군 강화읍 관청리 488-2번지 청원빌딩,"인천광역시 강화군 강화읍 동문안길 9-1, 청원빌딩 4층","인천광역시 강화군 강화읍 동문안길 9-1, 청원빌딩 4층",0,,,2019
하이엔드휘트니스 주안,2019-02-15,,,,,영업/정상,인천광역시 미추홀구 주안동 989-1 르네상스빌딩,"인천광역시 미추홀구 경원대로 869, 르네상스빌딩 19층 (주안동)","인천광역시 미추홀구 경원대로 869, 르네상스빌딩 19층 (주안동)",0,,,2019
엘리나 필라테스,2019-01-16,,,,,영업/정상,인천광역시 서구 당하동 1029-7번지 그린프라자,"인천광역시 서구 고산후로95번길 24, 그린프라자 403호 (당하동)","인천광역시 서구 고산후로95번길 24, 그린프라자 403호 (당하동)",0,,,2019
LBS 짐,2019-03-08,,,,,영업/정상,인천광역시 남동구 만수동 875-8번지 5층,"인천광역시 남동구 백범로 173, 5층 (만수동)","인천광역시 남동구 백범로 173, 5층 (만수동)",0,,,2019
조스짐(cho's gym),2019-03-20,,,,,영업/정상,인천광역시 서구 가정동 618-1번지 새롬프라자,"인천광역시 서구 봉오재3로 96, 새롬프라자 601~602호 (가정동)","인천광역시 서구 봉오재3로 96, 새롬프라자 601~602호 (가정동)",0,,,2019
조짐(Jo-Gym),2019-03-27,,,,,영업/정상,인천광역시 동구 송현동 66-530번지 센타빌딩 301호,"인천광역시 동구 화수로 7, 센타빌딩 301호 (송현동)","인천광역시 동구 화수로 7, 센타빌딩 301호 (송현동)",0,,,2019
HOT GYM,2022-04-22,,,,,영업/정상,인천광역시 부평구 부평동 534-60 2층,"인천광역시 부평구 경원대로 1358, 2층 (부평동)","인천광역시 부평구 경원대로 1358, 2층 (부평동)",0,,,2022
패스짐,2022-04-25,,,,,영업/정상,인천광역시 남동구 구월동 1225-2 컨스타,"인천광역시 남동구 구월남로 228, 컨스타 202호 (구월동)","인천광역시 남동구 구월남로 228, 컨스타 202호 (구월동)",0,,,2022
5150 피트니스,2022-04-26,,,,,영업/정상,인천광역시 연수구 송도동 3-5 이리옴프라자,"인천광역시 연수구 신송로125번길 7, 이리옴프라자 3층 304호 (송도동)","인천광역시 연수구 신송로125번길 7, 이리옴프라자 3층 304호 (송도동)",0,,,2022
하이키즈 스포츠 아카데미,2019-03-04,,,,,영업/정상,인천광역시 연수구 송도동 8-3번지 휴먼빌파크 701호,"인천광역시 연수구 인천타워대로132번길 30, 휴먼빌파크 701호 (송도동)","인천광역시 연수구 인천타워대로132번길 30, 휴먼빌파크 701호 (송도동)",0,,,2019
포웨이짐 검단점,2019-03-11,,,,,영업/정상,인천광역시 서구 마전동 910-1,"인천광역시 서구 완정로 172, 5,6층 502,601호 (마전동)","인천광역시 서구 완정로 172, 5,6층 502,601호 (마전동)",0,,,2019
애플비 휘트니스,2019-04-15,,,,,영업/정상,인천광역시 남동구 간석동 205-1번지 올리브백화점 3층 301~5호,"인천광역시 남동구 남동대로 880, 올리브백화점 3층 301~5호 (간석동)","인천광역시 남동구 남동대로 880, 올리브백화점 3층 301~5호 (간석동)",0,,,2019
멋짐,2019-06-04,,,,,영업/정상,인천광역시 미추홀구 도화동 619-5번지,"인천광역시 미추홀구 경인로 191, 4층 (도화동)","인천광역시 미추홀구 경인로 191, 4층 (도화동)",0,,,2019
3HOPT,2019-04-10,,,,,영업/정상,인천광역시 연수구 송도동 3-7 아크리아빌딩2 202호,"인천광역시 연수구 해돋이로120번길 23, 아크리아빌딩2 202호 (송도동)","인천광역시 연수구 해돋이로120번길 23, 아크리아빌딩2 202호 (송도동)",0,,,2019
제이짐,2019-05-27,,,,,영업/정상,인천광역시 동구 송현동 72-129 송현프라자,"인천광역시 동구 송현로 1, 송현프라자 5층 (송현동)","인천광역시 동구 송현로 1, 송현프라자 5층 (송현동)",0,,,2019
진짜 헬스장,2019-05-27,,,,,영업/정상,인천광역시 중구 중산동 1873-3,"인천광역시 중구 자연대로 47, 15층 (중산동)","인천광역시 중구 자연대로 47, 15층 (중산동)",0,,,2019
오렌지휘트니스,2019-05-01,,,,,영업/정상,인천광역시 부평구 부평동 546-69,"인천광역시 부평구 부평문화로 48, 4층 (부평동)","인천광역시 부평구 부평문화로 48, 4층 (부평동)",0,,,2019
피트니스 몸집,2019-05-01,,,,,영업/정상,인천광역시 부평구 부평동 947번지 래미안부평,"인천광역시 부평구 길주남로10번길 21, 지하1층 (부평동, 래미안부평)","인천광역시 부평구 길주남로10번길 21, 지하1층 (부평동, 래미안부평)",0,,,2019
Living Gym,2019-05-17,,,,,영업/정상,인천광역시 남동구 간석동 395-2 B1층,"인천광역시 남동구 주안로 231, B1층 (간석동)","인천광역시 남동구 주안로 231, B1층 (간석동)",0,,,2019
바로파트니스 인천논현점,2019-04-24,,,,,영업/정상,인천광역시 남동구 논현동 649-3 아름다운타워 11층 1~3호,"인천광역시 남동구 논고개로 101, 아름다운타워 11층 1~3호 (논현동)","인천광역시 남동구 논고개로 101, 아름다운타워 11층 1~3호 (논현동)",0,,,2019
무브랩 (MOVE LAB),2019-04-30,,,,,영업/정상,인천광역시 남동구 구월동 1535번지 누리자타운(상업2-1) 2층 209호,"인천광역시 남동구 선수촌공원로23번길 10-21, 누리자타운(상업2-1) 2층 209호 (구월동)","인천광역시 남동구 선수촌공원로23번길 10-21, 누리자타운(상업2-1) 2층 209호 (구월동)",0,,,2019
바디채널 연수역점,2019-04-19,,,,,영업/정상,인천광역시 연수구 청학동 496-4번지 연수광장프라자 303호,"인천광역시 연수구 벚꽃로 106, 연수광장프라자 3층 303호 (청학동)","인천광역시 연수구 벚꽃로 106, 연수광장프라자 3층 303호 (청학동)",0,,,2019
에프아이티와이,2019-04-17,,,,,영업/정상,인천광역시 남동구 간석동 225-49번지 만월 2층,"인천광역시 남동구 호구포로 909, 만월 2층 (간석동)","인천광역시 남동구 호구포로 909, 만월 2층 (간석동)",0,,,2019
웨이워즈짐,2019-06-19,,,,,영업/정상,인천광역시 남동구 구월동 1241-1 다옴프라자 4층 402호,"인천광역시 남동구 용천로 82, 다옴프라자 4층 402호 (구월동)","인천광역시 남동구 용천로 82, 다옴프라자 4층 402호 (구월동)",0,,,2019
용인대 Y 헬스클럽,2019-06-14,,,,,영업/정상,인천광역시 부평구 삼산동 53-6번지 주영빌딩,"인천광역시 부평구 부평북로 408, 주영빌딩 3층 301호 (삼산동)","인천광역시 부평구 부평북로 408, 주영빌딩 3층 301호 (삼산동)",0,,,2019
Good Move,2022-04-18,,,,,영업/정상,인천광역시 서구 가정동 619-7 211호,"인천광역시 서구 염곡로464번길 15, 쓰리엠타워 211호 (가정동)","인천광역시 서구 염곡로464번길 15, 쓰리엠타워 211호 (가정동)",0,,,2022
바디프로젝트짐,2022-03-23,,,,,영업/정상,인천광역시 부평구 산곡동 310-109 2층,"인천광역시 부평구 경원대로 1244, 2층 (산곡동)","인천광역시 부평구 경원대로 1244, 2층 (산곡동)",0,,,2022
클럽훈짐,2019-04-04,,,,,영업/정상,인천광역시 서구 석남동 477 무한빌딩,"인천광역시 서구 신석로 79, 무한빌딩 3층 (석남동)","인천광역시 서구 신석로 79, 무한빌딩 3층 (석남동)",0,,,2019
바디와이짐,2019-09-27,,,,,영업/정상,인천광역시 미추홀구 용현동 92-17번지,"인천광역시 미추홀구 인하로 107, 2층 (용현동)","인천광역시 미추홀구 인하로 107, 2층 (용현동)",0,,,2019
(주)밀론시스템,2019-08-01,,,,,영업/정상,인천광역시 서구 청라동 145-5번지,"인천광역시 서구 청라루비로134번길 18, 1층 (청라동)","인천광역시 서구 청라루비로134번길 18, 1층 (청라동)",0,,,2019
A4U 크로스핏,2019-07-01,,,,,영업/정상,인천광역시 서구 청라동 174-4번지,"인천광역시 서구 청라루비로42번길 5-9, 102호 (청라동)","인천광역시 서구 청라루비로42번길 5-9, 102호 (청라동)",0,,,2019
엑스포스짐,2019-09-24,,,,,영업/정상,인천광역시 서구 가정동 605-10번지,"인천광역시 서구 청중로478번길 24, 3층 (가정동)","인천광역시 서구 청중로478번길 24, 3층 (가정동)",0,,,2019
라이프 피트니스,2019-07-10,,,,,영업/정상,인천광역시 연수구 송도동 3-25번지 5층,"인천광역시 연수구 해돋이로 106, 5층 (송도동)","인천광역시 연수구 해돋이로 106, 5층 (송도동)",0,,,2019
연세 운동 센터,2019-07-17,,,,,영업/정상,인천광역시 연수구 옥련동 401번지 청원타운 201호,"인천광역시 연수구 청량로 181, 청원타운 201호 (옥련동)","인천광역시 연수구 청량로 181, 청원타운 201호 (옥련동)",0,,,2019
AMG휘트니스,2019-09-18,,,,,영업/정상,인천광역시 서구 석남동 518-18,"인천광역시 서구 길주로 79, 11층 (석남동)","인천광역시 서구 길주로 79, 11층 (석남동)",0,,,2019
X피트니스가정점,2019-09-03,,,,,영업/정상,인천광역시 서구 가정동 617-4번지 엔시티타워,"인천광역시 서구 염곡로464번길 23, 엔시티타워 7층 (가정동)","인천광역시 서구 염곡로464번길 23, 엔시티타워 7층 (가정동)",0,,,2019
우피짐 주안점,2019-08-07,,,,,영업/정상,인천광역시 미추홀구 주안동 1471-11,"인천광역시 미추홀구 미추홀대로 620, 2층 (주안동)","인천광역시 미추홀구 미추홀대로 620, 2층 (주안동)",0,,,2019
바디나믹,2019-08-07,,,,,영업/정상,인천광역시 계양구 효성동 277-21번지,"인천광역시 계양구 새벌로 131, 3층 301호 (효성동)","인천광역시 계양구 새벌로 131, 3층 301호 (효성동)",0,,,2019
팀윤짐 송도3호점,2019-09-11,,,,,영업/정상,"인천광역시 연수구 송도동 23-5 송도센트럴파크푸르지오 판매시설동 212,213,214,215호","인천광역시 연수구 센트럴로 160, 판매시설동 212,213,214,215호 (송도동, 송도센트럴파크푸르지오)","인천광역시 연수구 센트럴로 160, 판매시설동 212,213,214,215호 (송도동, 송도센트럴파크푸르지오)",0,,,2019
대박 휘트니스센터,2019-09-04,,,,,영업/정상,인천광역시 부평구 부개동 270번지 그린힐,"인천광역시 부평구 경인로 1038, B02호 (부개동, 그린힐)","인천광역시 부평구 경인로 1038, B02호 (부개동, 그린힐)",0,,,2019
팻번,2019-08-28,,,,,영업/정상,인천광역시 서구 가좌동 89-2,"인천광역시 서구 건지로 375, 5층 (가좌동)","인천광역시 서구 건지로 375, 5층 (가좌동)",0,,,2019
Park's Fitness,2019-08-02,,,,,영업/정상,인천광역시 서구 당하동 1097-8번지 고려프라자,"인천광역시 서구 청마로167번길 7, 고려프라자 4층 (당하동)","인천광역시 서구 청마로167번길 7, 고려프라자 4층 (당하동)",0,,,2019
바른PT,2022-04-07,,,,,영업/정상,인천광역시 부평구 부개동 496-17 4층,"인천광역시 부평구 부개로 73, 4층 (부개동)","인천광역시 부평구 부개로 73, 4층 (부개동)",0,,,2022
88PT,2022-04-11,,,,,영업/정상,인천광역시 서구 원당동 0 로뎀타워,"인천광역시 서구 이음대로 378, 로뎀타워 905,906호 (원당동)","인천광역시 서구 이음대로 378, 로뎀타워 905,906호 (원당동)",0,,,2022
짐에센셜,2022-04-14,,,,,영업/정상,인천광역시 남동구 구월동 1457 이노 프라자,"인천광역시 남동구 성말로 9, 이노 프라자 304호 (구월동)","인천광역시 남동구 성말로 9, 이노 프라자 304호 (구월동)",0,,,2022
CHOS' GYM 2호점,2022-04-14,,,,,영업/정상,인천광역시 서구 가정동 0 루원시티 SK Leaders' VIEW 301동 109호,"인천광역시 서구 가정로 437, 301동 109호 (가정동, 루원시티 SK Leaders' VIEW)","인천광역시 서구 가정로 437, 301동 109호 (가정동, 루원시티 SK Leaders' VIEW)",0,,,2022
AR 퍼스널 트레이닝(구월점),2019-08-30,,,,,영업/정상,인천광역시 남동구 구월동 1199번지 4층,"인천광역시 남동구 구월남로 172, 4층 (구월동)","인천광역시 남동구 구월남로 172, 4층 (구월동)",0,,,2019
이스트타워 클럽올림푸스,2019-08-21,,,,,영업/정상,인천광역시 중구 운서동 2850-1 그랜드하얏트인천 이스트타워,"인천광역시 중구 영종해안남로321번길 208, 그랜드하얏트인천 이스트타워 2층 (운서동)","인천광역시 중구 영종해안남로321번길 208, 그랜드하얏트인천 이스트타워 2층 (운서동)",0,,,2019
에이셉 트레이닝 센터,2019-12-09,,,,,영업/정상,인천광역시 중구 경동 235-2번지 예원인테리어,"인천광역시 중구 개항로 69, 3층 (경동)","인천광역시 중구 개항로 69, 3층 (경동)",0,,,2019
매드볼릭,2019-10-10,,,,,영업/정상,인천광역시 미추홀구 학익동 533-3번지 성신하이텍(주)사옥,"인천광역시 미추홀구 노적산로 70, 성신프라자 2층 (학익동)","인천광역시 미추홀구 노적산로 70, 성신프라자 2층 (학익동)",0,,,2019
혁짐,2019-12-11,,,,,영업/정상,인천광역시 중구 운서동 2913-3번지,"인천광역시 중구 넙디로 60, 2층 (운서동)","인천광역시 중구 넙디로 60, 2층 (운서동)",0,,,2019
변현선의 풀바디짐,2016-09-12,,,,,영업/정상,인천광역시 연수구 송도동 30-3번지 송도 센트로드,"인천광역시 연수구 인천타워대로 323, 송도 센트로드 상가동 3층 D303호 (송도동)","인천광역시 연수구 인천타워대로 323, 송도 센트로드 상가동 3층 D303호 (송도동)",0,,,2016
반 휘트니스,2019-11-25,,,,,영업/정상,인천광역시 미추홀구 주안동 1464-23번지 남동농협,"인천광역시 미추홀구 인하로 289, 남동농협 3층 (주안동)","인천광역시 미추홀구 인하로 289, 남동농협 3층 (주안동)",0,,,2019
