사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
홍농 헬스클럽,2003-02-12,20200622.0,,,,취소/말소/만료/정지/중지,전라남도 영광군 홍농읍 상하리 539-1번지,전라남도 영광군 홍농읍 상하길 3,전라남도 영광군 홍농읍 상하길 3,1,2020-06-22,2020,2003
리더스 스포츠클럽,2006-06-12,20200608.0,,,,취소/말소/만료/정지/중지,전라남도 영광군 영광읍 단주리 630-9번지,전라남도 영광군 영광읍 옥당로 169,전라남도 영광군 영광읍 옥당로 169,1,2020-06-08,2020,2006
태정헬스,2007-11-07,20200608.0,,,,취소/말소/만료/정지/중지,전라남도 영광군 영광읍 백학리 47번지 6층,전라남도 영광군 영광읍 현암길 45-7,전라남도 영광군 영광읍 현암길 45-7,1,2020-06-08,2020,2007
킹콩짐,2018-11-19,,,,,영업/정상,전라남도 여수시 덕충동 2037-1번지,"전라남도 여수시 덕충안길 86, 301호 (덕충동)","전라남도 여수시 덕충안길 86, 301호 (덕충동)",0,,,2018
비케이짐 피트니스,2019-01-11,,,,,영업/정상,전라남도 광양시 중동 1641-2번지,"전라남도 광양시 공영로 67, 3층 (중동)","전라남도 광양시 공영로 67, 3층 (중동)",0,,,2019
MASTER GYM,2019-01-11,,,,,영업/정상,전라남도 순천시 가곡동 1001-9번지 애플볼링장,"전라남도 순천시 중앙로 310, 2층 (가곡동)","전라남도 순천시 중앙로 310, 2층 (가곡동)",0,,,2019
드림스포츠아카데미,2019-03-19,,,,,영업/정상,전라남도 목포시 상동 876번지,전라남도 목포시 신흥로59번길 6 (상동),전라남도 목포시 신흥로59번길 6 (상동),0,,,2019
팍스짐,2019-03-22,,,,,영업/정상,전라남도 해남군 해남읍 구교리 405-6 카카오토(2층 팍스짐),"전라남도 해남군 해남읍 북부순환로 211-7, 카카오토(2층팍스짐) 2층층","전라남도 해남군 해남읍 북부순환로 211-7, 카카오토(2층팍스짐) 2층층",0,,,2019
팀 빌드업,2022-04-22,,,,,영업/정상,전라남도 화순군 화순읍 향청리 125,"전라남도 화순군 화순읍 진각로 125, 4층","전라남도 화순군 화순읍 진각로 125, 4층",0,,,2022
중앙헬스,1999-10-19,,,,,영업/정상,전라남도 완도군 노화읍 이포리 877-1번지,전라남도 완도군 노화읍 노화로 868,전라남도 완도군 노화읍 노화로 868,0,,,1999
구구팔팔헬스장,2011-07-27,,,,,영업/정상,전라남도 완도군 완도읍 군내리 363-93번지 363-93번지,전라남도 완도군 완도읍 청해진남로23번길 20,전라남도 완도군 완도읍 청해진남로23번길 20,0,,,2011
청헬스클럽,2012-06-08,,,,,영업/정상,전라남도 완도군 완도읍 군내리 364-7,전라남도 완도군 완도읍 중앙길 28,전라남도 완도군 완도읍 중앙길 28,0,,,2012
정심관,2013-06-19,,,,,영업/정상,전라남도 완도군 완도읍 군내리,전라남도 완도군 완도읍 개포로 146-7,전라남도 완도군 완도읍 개포로 146-7,0,,,2013
영암헬스클럽,2006-03-23,,,,,영업/정상,전라남도 영암군 영암읍 서남리 49-12번지,전라남도 영암군 영암읍 중앙로 14,전라남도 영암군 영암읍 중앙로 14,0,,,2006
켈리포니아헬스,2003-01-13,,,,,영업/정상,전라남도 화순군 화순읍 만연리 239-8번지,전라남도 화순군 화순읍 중앙로 93-9,전라남도 화순군 화순읍 중앙로 93-9,0,,,2003
송강테마랜드(헬스장업),2008-01-14,,,,,영업/정상,전라남도 화순군 화순읍 교리 208-6번지,전라남도 화순군 화순읍 쌍충로 118 (송강테마랜드),전라남도 화순군 화순읍 쌍충로 118 (송강테마랜드),0,,,2008
황제헬스클럽,1996-02-06,,,,,영업/정상,전라남도 장흥군 장평면 용강리 58-8번지,전라남도 장흥군 장평면 장평중앙길 41,전라남도 장흥군 장평면 장평중앙길 41,0,,,1996
s휘트니스클럽,2012-01-26,,,,,영업/정상,전라남도 장흥군 장흥읍 건산리 669-7번지,"전라남도 장흥군 장흥읍 괘야리1길 26-9, 2층","전라남도 장흥군 장흥읍 괘야리1길 26-9, 2층",0,,,2012
리얼헬스,2015-07-03,,,,,영업/정상,전라남도 장흥군 장흥읍 건산리 467-3번지,전라남도 장흥군 장흥읍 문림로 9,전라남도 장흥군 장흥읍 문림로 9,0,,,2015
정남진 휘트니스,2016-12-06,,,,,영업/정상,전라남도 장흥군 장흥읍 건산리 684-15번지,전라남도 장흥군 장흥읍 북부로 17,전라남도 장흥군 장흥읍 북부로 17,0,,,2016
좌수영헬스,2003-04-24,,,,,영업/정상,전라남도 여수시 선원동 150-2번지,전라남도 여수시 선원3길 10-21 (선원동),전라남도 여수시 선원3길 10-21 (선원동),0,,,2003
(주)소노인터내셔널 여수지점,2012-03-07,,,,,영업/정상,전라남도 여수시 수정동 332-15 소노캄 여수,"전라남도 여수시 오동도로 111, 소노캄 여수 (수정동)","전라남도 여수시 오동도로 111, 소노캄 여수 (수정동)",0,,,2012
보스휘트니스,2010-08-23,,,,,영업/정상,전라남도 여수시 여서동 916-1 보스휘트니스,"전라남도 여수시 여서로 220, 보스휘트니스 (여서동)","전라남도 여수시 여서로 220, 보스휘트니스 (여서동)",0,,,2010
캘리포니아헬스클럽,2011-05-02,,,,,영업/정상,전라남도 여수시 문수동 805-14번지,전라남도 여수시 문수로 5 (문수동),전라남도 여수시 문수로 5 (문수동),0,,,2011
FIT1:1studio,2011-12-09,,,,,영업/정상,전라남도 여수시 여서동 217번지,"전라남도 여수시 여서1로 73, 7층 (여서동)","전라남도 여수시 여서1로 73, 7층 (여서동)",0,,,2011
JY헬스클럽,2011-03-30,,,,,영업/정상,전라남도 여수시 안산동 703번지,전라남도 여수시 장성마을길 5 (안산동),전라남도 여수시 장성마을길 5 (안산동),0,,,2011
휘트니스센터,2012-05-08,,,,,영업/정상,전라남도 여수시 신월동 1804번지,전라남도 여수시 신월로 496-25 (신월동),전라남도 여수시 신월로 496-25 (신월동),0,,,2012
엘레나휘트니스클럽,2012-12-28,,,,,영업/정상,전라남도 여수시 문수동 112,전라남도 여수시 문수로 106 (문수동),전라남도 여수시 문수로 106 (문수동),0,,,2012
CH CLUB,2013-05-30,,,,,영업/정상,전라남도 여수시 화장동 777-7번지,전라남도 여수시 화산1길 50 (화장동),전라남도 여수시 화산1길 50 (화장동),0,,,2013
한-GYM,2014-06-09,,,,,영업/정상,전라남도 여수시 문수동 121번지 3층,"전라남도 여수시 여문문화길 42, 3층 (문수동)","전라남도 여수시 여문문화길 42, 3층 (문수동)",0,,,2014
범GYM,2004-09-14,,,,,영업/정상,전라남도 여수시 학동 88-3번지,전라남도 여수시 선소로 57 (학동),전라남도 여수시 선소로 57 (학동),0,,,2004
파워헬스,2004-10-13,,,,,영업/정상,전라남도 여수시 선원동 1342-5,전라남도 여수시 도원로 185-1 (선원동),전라남도 여수시 도원로 185-1 (선원동),0,,,2004
금수강산헬스,2005-11-01,,,,,영업/정상,전라남도 여수시 문수동 793-14번지,전라남도 여수시 여문2로 53-6 (문수동),전라남도 여수시 여문2로 53-6 (문수동),0,,,2005
여수스포렉스,2005-11-23,,,,,영업/정상,전라남도 여수시 여서동 480-2,전라남도 여수시 여문2로 183 (여서동),전라남도 여수시 여문2로 183 (여서동),0,,,2005
뉴스파헬스,2006-02-20,,,,,영업/정상,전라남도 여수시 봉산동 282-4번지,전라남도 여수시 어항로 3 (봉산동),전라남도 여수시 어항로 3 (봉산동),0,,,2006
중앙헬스클럽,1993-04-06,,,,,영업/정상,전라남도 구례군 구례읍 봉북리 1448-7번지,전라남도 구례군 구례읍 구례2길 79 (중앙헬스),전라남도 구례군 구례읍 구례2길 79 (중앙헬스),0,,,1993
