사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
우먼파워에어로빅,2008-09-23,,,,,취소/말소/만료/정지/중지,전라북도 전주시 덕진구 우아동3가 732-5번지,전라북도 전주시 덕진구 백제대로 781  (우아동3가),전라북도 전주시 덕진구 백제대로 781  (우아동3가),0,,,2008
스마트PT,2015-11-27,,,,,영업/정상,전라북도 완주군 이서면 갈산리 662-2번지 청담빌딩 402호,"전라북도 완주군 이서면 기지로 37, 402호 (청담빌딩)","전라북도 완주군 이서면 기지로 37, 402호 (청담빌딩)",0,,,2015
베스트클럽,2016-03-07,,,,,영업/정상,전라북도 완주군 이서면 갈산리 662-6번지,"전라북도 완주군 이서면 기지로 51, 2층","전라북도 완주군 이서면 기지로 51, 2층",0,,,2016
FITNESS815,2016-05-30,,,,,영업/정상,,"전라북도 완주군 이서면 오공로 11-28, 6층","전라북도 완주군 이서면 오공로 11-28, 6층",0,,,2016
바디킹콩,2012-02-23,,,,,영업/정상,전라북도 전주시 완산구 경원동3가 39-4번지,전라북도 전주시 완산구 팔달로 202-16 (경원동3가),전라북도 전주시 완산구 팔달로 202-16 (경원동3가),0,,,2012
서곡휘트니스,2012-03-30,,,,,영업/정상,전라북도 전주시 완산구 효자동3가 1484-1번지,전라북도 전주시 완산구 천잠로 506 (효자동3가),전라북도 전주시 완산구 천잠로 506 (효자동3가),0,,,2012
Y.GYM,2012-04-24,,,,,영업/정상,전라북도 전주시 완산구 서신동 796-3번지 지하1층,"전라북도 전주시 완산구 당산로 50 (서신동,지하1층)","전라북도 전주시 완산구 당산로 50 (서신동,지하1층)",0,,,2012
건승체련관,2002-02-06,,,,,영업/정상,전라북도 무주군 무주읍 당산리 918-3 전통건강체험관,"전라북도 무주군 무주읍 최북로 28, 전통건강체험관","전라북도 무주군 무주읍 최북로 28, 전통건강체험관",0,,,2002
굿모닝헬쓰클럽,2011-04-08,,,,,영업/정상,전라북도 완주군 봉동읍 둔산리 899-2번지,전라북도 완주군 봉동읍 완주산단9로 15,전라북도 완주군 봉동읍 완주산단9로 15,0,,,2011
PT 히어로,2014-07-03,,,,,영업/정상,전라북도 완주군 봉동읍 둔산리 902-3번지,전라북도 완주군 봉동읍 원둔산1길 11,전라북도 완주군 봉동읍 원둔산1길 11,0,,,2014
