사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
티쳐피트니스,2018-11-20,,,,,영업/정상,제주특별자치도 제주시 연동 251-28 제움,"제주특별자치도 제주시 신광로4길 42, 2층 (연동, 제움)","제주특별자치도 제주시 신광로4길 42, 2층 (연동, 제움)",0,,,2018
엠짐(M Gym),2022-04-20,,,,,영업/정상,제주특별자치도 제주시 연동 306-1,"제주특별자치도 제주시 신대로20길 1, 2층 (연동)","제주특별자치도 제주시 신대로20길 1, 2층 (연동)",0,,,2022
라온 휘트니스,2011-12-19,,,,,영업/정상,제주특별자치도 제주시 한림읍 협재리 2842번지,제주특별자치도 제주시 한림읍 금능남로 127,제주특별자치도 제주시 한림읍 금능남로 127,0,,,2011
JJ노블휘트니스클럽,2012-08-21,,,,,영업/정상,제주특별자치도 제주시 연동 2331-6 신동부삼무3차아파트,"제주특별자치도 제주시 성신로1길 34, 3층 (연동, 신동부삼무3차아파트)","제주특별자치도 제주시 성신로1길 34, 3층 (연동, 신동부삼무3차아파트)",0,,,2012
롱키스포츠클럽,2012-12-24,,,,,영업/정상,제주특별자치도 제주시 일도이동 74,제주특별자치도 제주시 연삼로 지하 548 (일도이동),제주특별자치도 제주시 연삼로 지하 548 (일도이동),0,,,2012
보보스헬스사우나,2013-10-23,,,,,영업/정상,제주특별자치도 제주시 화북이동 827-1,제주특별자치도 제주시 동화로 74 (화북이동),제주특별자치도 제주시 동화로 74 (화북이동),0,,,2013
부스터짐,2014-02-26,,,,,영업/정상,제주특별자치도 제주시 아라이동 3001-5,"제주특별자치도 제주시 승천로 63, 2층","제주특별자치도 제주시 승천로 63, 2층",0,,,2014
런던헬스사우나,2014-04-23,,,,,영업/정상,제주특별자치도 제주시 노형동 1046-16번지,제주특별자치도 제주시 남녕로 53 (노형동),제주특별자치도 제주시 남녕로 53 (노형동),0,,,2014
플렉스휘트니스클럽,2009-05-08,,,,,영업/정상,제주특별자치도 제주시 노형동 2529-1,"제주특별자치도 제주시 수덕로 41, 지하 1층 (노형동)","제주특별자치도 제주시 수덕로 41, 지하 1층 (노형동)",0,,,2009
(주)석 컴퍼니(휘트니스 숨),2005-12-23,,,,,영업/정상,제주특별자치도 제주시 삼양이동 2124-5,제주특별자치도 제주시 선사로 15 (삼양이동),제주특별자치도 제주시 선사로 15 (삼양이동),0,,,2005
사람휘트니스 노형점,2008-12-12,,,,,영업/정상,제주특별자치도 제주시 노형동 2578-3,"제주특별자치도 제주시 달마루길 18, 4~5층 (노형동)","제주특별자치도 제주시 달마루길 18, 4~5층 (노형동)",0,,,2008
한림헬스타운,2009-01-05,,,,,영업/정상,제주특별자치도 제주시 한림읍 한림리 942-2번지,제주특별자치도 제주시 한림읍 한림중앙로 30,제주특별자치도 제주시 한림읍 한림중앙로 30,0,,,2009
