사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
메이크 잇 짐 성정점,2016-05-30,,,,,영업/정상,충청남도 천안시 서북구 성정동 1523,"충청남도 천안시 서북구 동서대로 129-22, 2층 203-204호 (성정동, 학산리젠다빌2차)","충청남도 천안시 서북구 동서대로 129-22, 2층 203-204호 (성정동, 학산리젠다빌2차)",0,,,2016
Bodyworks(바디웍스),2016-06-01,,,,,영업/정상,충청남도 천안시 서북구 두정동 1396번지,"충청남도 천안시 서북구 성정두정로 56, 2층 (두정동, 스피드메이트)","충청남도 천안시 서북구 성정두정로 56, 2층 (두정동, 스피드메이트)",0,,,2016
디자인 휘트니스,2016-12-13,,,,,영업/정상,충청남도 천안시 동남구 신방동 1875번지 401호,"충청남도 천안시 동남구 통정5로 58, 401호 (신방동)","충청남도 천안시 동남구 통정5로 58, 401호 (신방동)",0,,,2016
팀박피티샵,2017-10-10,,,,,영업/정상,충청남도 보령시 동대동 1034,"충청남도 보령시 신평로 9 (동대동, 태양빌딩)","충청남도 보령시 신평로 9 (동대동, 태양빌딩)",0,,,2017
한내헬스클럽,1996-09-24,,,,,영업/정상,충청남도 보령시 대천동 30-1번지 2층,충청남도 보령시 대천로 92 (대천동),충청남도 보령시 대천로 92 (대천동),0,,,1996
하루운동,2016-05-25,,,,,영업/정상,충청남도 천안시 서북구 두정동 1278 401호,"충청남도 천안시 서북구 두정중2길 4, 4층 401호 (두정동, 서현빌딩)","충청남도 천안시 서북구 두정중2길 4, 4층 401호 (두정동, 서현빌딩)",0,,,2016
제이앤웰니스(주) 휘트니스,2005-11-17,,,,,영업/정상,충청남도 보령시 동대동 828-5 3층,충청남도 보령시 중앙로 46 (동대동),충청남도 보령시 중앙로 46 (동대동),0,,,2005
제일휘트니스클럽,2006-01-10,,,,,영업/정상,충청남도 보령시 동대동 476-23번지 2층,충청남도 보령시 한내로터리길 45 (동대동),충청남도 보령시 한내로터리길 45 (동대동),0,,,2006
포시즌사우나스포츠센타,2013-02-14,,,,,영업/정상,충청남도 보령시 동대동 501-1번지,충청남도 보령시 매방아1길 12-4 (동대동),충청남도 보령시 매방아1길 12-4 (동대동),0,,,2013
W 짐,2017-07-14,,,,,영업/정상,충청남도 보령시 궁촌동 341-3번지,"충청남도 보령시 터미널길 18-17 (궁촌동, 삼성생명아름다운웨딩홀)","충청남도 보령시 터미널길 18-17 (궁촌동, 삼성생명아름다운웨딩홀)",0,,,2017
헬스아카데미,2001-02-08,,,,,영업/정상,충청남도 천안시 동남구 사직동 242-1번지,충청남도 천안시 동남구 대흥로 145 (사직동),충청남도 천안시 동남구 대흥로 145 (사직동),0,,,2001
점핑하이,2017-07-05,,,,,영업/정상,충청남도 천안시 서북구 성정동 1178번지,"충청남도 천안시 서북구 성정중4길 39-3, 2층 203호 (성정동, 크라운주차빌딩)","충청남도 천안시 서북구 성정중4길 39-3, 2층 203호 (성정동, 크라운주차빌딩)",0,,,2017
멋GYM 성환점,2017-08-01,,,,,영업/정상,충청남도 천안시 서북구 성환읍 매주리 330-20번지,충청남도 천안시 서북구 성환읍 성환1로 185,충청남도 천안시 서북구 성환읍 성환1로 185,0,,,2017
크로스핏 샤우트,2017-08-10,,,,,영업/정상,충청남도 천안시 서북구 쌍용동 657번지 일성다래아파트 505-506 상가동,"충청남도 천안시 서북구 쌍용16길 41, 505-506호 (쌍용동, 일성다래아파트)","충청남도 천안시 서북구 쌍용16길 41, 505-506호 (쌍용동, 일성다래아파트)",0,,,2017
탄 이 짐(TAN-E GYM),2017-03-02,,,,,영업/정상,충청남도 천안시 서북구 두정동 534번지,"충청남도 천안시 서북구 두정로 98, 5층 (두정동, 재호빌딩)","충청남도 천안시 서북구 두정로 98, 5층 (두정동, 재호빌딩)",0,,,2017
