개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
3030000,CDFH3301061993000002,19930701,,3,폐업,3,폐업,20040417,,,,,,133880,서울특별시 성동구 홍익동 162-1번지 ,,,신화헬스클럽,2.00601E+13,I,2018.8.31 23:59,,,,체력단련장업,사립,0,,,,,,
3030000,CDFH3301061994000001,19940127,,3,폐업,3,폐업,20011106,,,,,,133834,서울특별시 성동구 성수동2가 289-243번지 ,서울특별시 성동구 아차산로7길 14-1  (성수동2가),,성수헬스,2.00302E+13,I,2018.8.31 23:59,,204771.2255,449353.7896,체력단련장업,사립,,0,0,0,,,
3180000,CDFH3301062004000008,20040729,,3,폐업,3,폐업,20220421,,,,2622-5211,,,서울특별시 영등포구 당산동2가 30-2,서울특별시 영등포구 영등포로 109 (당산동2가 영등포유통상가),7264,유통헬스,2.02204E+13,U,2021.12.3 22:03,,190555.769,446698.8143,,,,,,,,,
3060000,CDFH3301062022000006,20220516,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중랑구 묵동 174-29,서울특별시 중랑구 공릉로 18 3층 (묵동),2034,J-PT,2.02205E+13,I,2021.12.4 23:08,,206823.166,456686.9334,,,,,,,,,
3160000,CDFH3301062020000001,20200131,,1,영업/정상,13,영업중,,,,,02-2682-9682,,,서울특별시 구로구 고척동 76-160 골든타워빌딩 4층,서울특별시 구로구 경인로 397 골든타워빌딩 4층 (고척동),8227,메이크유 필라테스&PT,2.02205E+13,U,2021.12.4 23:08,,187888.2722,443955.6145,,,,,,,,,
3180000,CDFH3301062001000001,20010411,,3,폐업,3,폐업,20220423,,,,02-833-7988,,,서울특별시 영등포구 신길동 235-7,서울특별시 영등포구 가마산로 505 (신길동 대명빌딩),7362,한국헬스,2.02204E+13,U,2021.12.3 22:03,,192206.834,444815.924,,,,,,,,,
3140000,CDFH3301062022000006,20220517,,1,영업/정상,13,영업중,,,,,,,,서울특별시 양천구 신정동 294-44,서울특별시 양천구 목동동로8길 15 34층 (신정동),8014,에스짐 양천구청점,2.02205E+13,I,2021.12.4 23:09,,188525.3422,446162.1703,,,,,,,,,
3210000,CDFH3301062022000016,20220518,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 서초동 1682 서초래미안아파트,서울특별시 서초구 서초대로65길 13-10 2층 207호 (서초동 서초래미안아파트),6602,테디짐PT 서초래미안,2.02205E+13,I,2021.12.4 22:00,,201600.3947,444038.7625,,,,,,,,,
3180000,CDFH3301062000000008,20000621,,3,폐업,3,폐업,20220423,,,,2633-1176,,,서울특별시 영등포구 당산동1가 83-0,서울특별시 영등포구 영등포로 157 (당산동1가),7267,월드체력단련장,2.02204E+13,U,2021.12.3 22:03,,191012.9557,446560.4716,,,,,,,,,
3110000,CDFH3301062022000008,20220519,,1,영업/정상,13,영업중,,,,,,,,서울특별시 은평구 역촌동 16-19 니오빌딩,서울특별시 은평구 진흥로 105-6 니오빌딩 2층 (역촌동),3404,플레이스짐,2.02205E+13,I,2021.12.4 22:01,,193061.229,456012.3005,,,,,,,,,
3030000,CDFH3301062022000006,20220519,,1,영업/정상,13,영업중,,,,,24644787,,,서울특별시 성동구 성수동1가 656-945,서울특별시 성동구 왕십리로14길 30-3 2층 (성수동1가),4789,3GYM,2.02205E+13,I,2021.12.4 22:01,,204110.8719,449569.5856,,,,,,,,,
3240000,CDFH3301062013000007,20131202,,1,영업/정상,13,영업중,,,,,3415-4928,,,서울특별시 강동구 상일동 373-1,서울특별시 강동구 상일로10길 36 (상일동 세종텔레콤지식산업센터),5288,세종텔레콤 피트니스 센터,2.02204E+13,U,2021.12.3 23:07,,215384.8443,450156.4116,,,,,,,,,
3240000,CDFH3301062022000008,20220520,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 명일동 344-10 현대자동차 공업사,서울특별시 강동구 상암로 197 현대자동차 공업사 지하1층 (명일동),5295,훈련소,2.02205E+13,I,2021.12.4 22:02,,212696.2574,449387.1347,,,,,,,,,
3100000,CDFH3301062022000007,20220523,,1,영업/정상,13,영업중,,,,,,,,서울특별시 노원구 상계동 79-145 정진145빌딩,서울특별시 노원구 덕릉로 738 정진145빌딩 2층 (상계동),1648,조아Gym,2.02205E+13,I,2021.12.4 22:05,,206658.4354,462339.3516,,,,,,,,,
3110000,CDFH3301062008000003,20080724,,5,제외/삭제/전출,15,전출,20220330,,,,02-373-5188,,,서울특별시 은평구 신사동 180-5 영성빌딩 4층,서울특별시 은평구 은평터널로 138 영성빌딩 4층 (신사동),3444,신사휘트니스,2.02203E+13,U,2021.12.4 0:01,,191623.5143,454347.6933,,,,,,,,,
3180000,CDFH3301062022000011,20220523,,1,영업/정상,13,영업중,,,,,,,,서울특별시 영등포구 당산동 121-17 양용빌딩,서울특별시 영등포구 버드나루로19길 3 양용빌딩 201호 (당산동),7229,위드핏,2.02205E+13,I,2021.12.4 22:05,,191770.923,447358.0855,,,,,,,,,
3020000,CDFH3301062007000001,20070116,,1,영업/정상,13,영업중,,,,,02-705-0022,,,서울특별시 용산구 한강로3가 16-85 GS한강에클라트,서울특별시 용산구 이촌로 1 지하1층 (한강로3가 GS한강에클라트),4373,원짐,2.02204E+13,U,2021.12.3 22:02,,196005.8364,447699.7588,,,,,,,,,
3210000,CDFH3301062022000017,20220523,,1,영업/정상,13,영업중,,,,,02-2039-3391,,,서울특별시 서초구 서초동 1588-5 디아레나 서초,서울특별시 서초구 효령로53길 24 디아레나 서초 지층 101호 (서초동),6654,클래시 휘트니스,2.02205E+13,I,2021.12.4 22:05,,201157.296,442617.1421,,,,,,,,,
3240000,CDFH3301062006000007,20060915,,3,폐업,3,폐업,20220420,,,,486-6733,,,서울특별시 강동구 천호동 4-2 3층,서울특별시 강동구 구천면로 376 (천호동 세일빌딩),5305,뉴 영헬스PT,2.02204E+13,U,2021.12.3 22:02,,212338.3983,449814.553,,,,,,,,,
3080000,CDFH3301062022000007,20220819,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강북구 수유동 178-16 태림빌딩,서울특별시 강북구 한천로144길 11 태림빌딩 2층 (수유동),1053,파인드 미 피티 스튜디오,2.02208E+13,I,2021.12.7 22:01,,202183.5865,459922.0312,,,,,,,,,
