,사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,상세영업상태코드,상세영업상태명,도로명주소,지번주소
0,신화헬스클럽,19930701,,,,20040417.0,3,폐업,,서울특별시 성동구 홍익동 162-1번지 
1,성수헬스,19940127,,,,20011106.0,3,폐업,서울특별시 성동구 아차산로7길 14-1  (성수동2가),서울특별시 성동구 성수동2가 289-243번지 
2,유통헬스,20040729,,,,20220421.0,3,폐업,서울특별시 영등포구 영등포로 109 (당산동2가 영등포유통상가),서울특별시 영등포구 당산동2가 30-2
3,J-PT,20220516,,,,,13,영업중,서울특별시 중랑구 공릉로 18 3층 (묵동),서울특별시 중랑구 묵동 174-29
4,메이크유 필라테스&PT,20200131,,,,,13,영업중,서울특별시 구로구 경인로 397 골든타워빌딩 4층 (고척동),서울특별시 구로구 고척동 76-160 골든타워빌딩 4층
5,한국헬스,20010411,,,,20220423.0,3,폐업,서울특별시 영등포구 가마산로 505 (신길동 대명빌딩),서울특별시 영등포구 신길동 235-7
6,에스짐 양천구청점,20220517,,,,,13,영업중,서울특별시 양천구 목동동로8길 15 34층 (신정동),서울특별시 양천구 신정동 294-44
7,테디짐PT 서초래미안,20220518,,,,,13,영업중,서울특별시 서초구 서초대로65길 13-10 2층 207호 (서초동 서초래미안아파트),서울특별시 서초구 서초동 1682 서초래미안아파트
8,월드체력단련장,20000621,,,,20220423.0,3,폐업,서울특별시 영등포구 영등포로 157 (당산동1가),서울특별시 영등포구 당산동1가 83-0
9,플레이스짐,20220519,,,,,13,영업중,서울특별시 은평구 진흥로 105-6 니오빌딩 2층 (역촌동),서울특별시 은평구 역촌동 16-19 니오빌딩
10,3GYM,20220519,,,,,13,영업중,서울특별시 성동구 왕십리로14길 30-3 2층 (성수동1가),서울특별시 성동구 성수동1가 656-945
11,훈련소,20220520,,,,,13,영업중,서울특별시 강동구 상암로 197 현대자동차 공업사 지하1층 (명일동),서울특별시 강동구 명일동 344-10 현대자동차 공업사
12,조아Gym,20220523,,,,,13,영업중,서울특별시 노원구 덕릉로 738 정진145빌딩 2층 (상계동),서울특별시 노원구 상계동 79-145 정진145빌딩
13,신사휘트니스,20080724,,,,20220330.0,15,전출,서울특별시 은평구 은평터널로 138 영성빌딩 4층 (신사동),서울특별시 은평구 신사동 180-5 영성빌딩 4층
14,위드핏,20220523,,,,,13,영업중,서울특별시 영등포구 버드나루로19길 3 양용빌딩 201호 (당산동),서울특별시 영등포구 당산동 121-17 양용빌딩
15,원짐,20070116,,,,,13,영업중,서울특별시 용산구 이촌로 1 지하1층 (한강로3가 GS한강에클라트),서울특별시 용산구 한강로3가 16-85 GS한강에클라트
16,클래시 휘트니스,20220523,,,,,13,영업중,서울특별시 서초구 효령로53길 24 디아레나 서초 지층 101호 (서초동),서울특별시 서초구 서초동 1588-5 디아레나 서초
17,뉴 영헬스PT,20060915,,,,20220420.0,3,폐업,서울특별시 강동구 구천면로 376 (천호동 세일빌딩),서울특별시 강동구 천호동 4-2 3층
18,파인드 미 피티 스튜디오,20220819,,,,,13,영업중,서울특별시 강북구 한천로144길 11 태림빌딩 2층 (수유동),서울특별시 강북구 수유동 178-16 태림빌딩
19,세종텔레콤 피트니스 센터,20131202,,,,20221101.0,3,폐업,서울특별시 강동구 상일로10길 36 (상일동 세종텔레콤지식산업센터),서울특별시 강동구 상일동 373-1
20,피티공간,20220523,,,,,13,영업중,서울특별시 강남구 일원로 47 대청빌딩 지하1층 b2호 (일원동),서울특별시 강남구 일원동 684-6 대청빌딩
21,엠오핏 PT&Pilates,20190410,,,,,13,영업중,서울특별시 양천구 공항대로 566 클래리티 타워 지하1층 (목동),서울특별시 양천구 목동 602-2 클래리티 타워
22,(주)피기블라인더스,20220819,,,,,13,영업중,서울특별시 강남구 도산대로 413 지하2층 (청담동),서울특별시 강남구 청담동 87-5
23,아워 피트니스(Our Fitness),20111020,,,,,13,영업중,서울특별시 관악구 남부순환로 1793 (봉천동백광빌딩 지하12층),서울특별시 관악구 봉천동 874-9 백광빌딩 지하12층
24,비스코헬스케어,20031106,,,,,13,영업중,서울특별시 광진구 아차산로70길 62 지하12층 (광장동 광장현대3단지아파트),서울특별시 광진구 광장동 484 지하12층
25,휘트니스피플 우먼 길동점,20220707,,,,,13,영업중,서울특별시 강동구 양재대로 1488 길동 5층 (길동),서울특별시 강동구 길동 391-1
26,오투 휘트니스,20030520,,,,20220407.0,3,폐업,서울특별시 동작구 장승배기로28길 6 1~2층 (노량진동),서울특별시 동작구 노량진동 53-3
27,넥스트레벨피티,20210121,,,,,13,영업중,서울특별시 서초구 서초대로 389 진흥상가 지하층 1호 (서초동),서울특별시 서초구 서초동 1315 진흥상가
28,바디어필 PT 스튜디오,20210121,,,,,13,영업중,서울특별시 서초구 방배로6길 13 지하1층 (방배동),서울특별시 서초구 방배동 1021-14
29,위크로스핏,20201104,,,,,13,영업중,서울특별시 서초구 서초중앙로 115 서용빌딩 지층 (서초동),서울특별시 서초구 서초동 1575-2 서용빌딩
30,핏플즈,20201012,,,,,13,영업중,서울특별시 서초구 서초중앙로31길 14-11 1층 (반포동),서울특별시 서초구 반포동 49-10
31,에이제이짐,20200812,,,,,13,영업중,서울특별시 서초구 서초대로 13 방배 마에스트로 204호 (방배동),서울특별시 서초구 방배동 866-10 방배 마에스트로
32,에이블짐,20200528,,,,,13,영업중,서울특별시 중랑구 면목로 310 지하1층 (면목동),서울특별시 중랑구 면목동 617-2
33,리버스바디,20200224,,,,,13,영업중,서울특별시 서초구 서초대로53길 21 202호 (서초동),서울특별시 서초구 서초동 1698-10
34,다윗헬스클럽,20220423,,,,,13,영업중,서울특별시 강동구 구천면로 384 동곡빌딩 (천호동),서울특별시 강동구 천호동 22-5 동곡빌딩
35,올데이핏(Allday Fit),20190911,,,,,13,영업중,서울특별시 서초구 반포대로30길 81 웅진타워 (서초동),서울특별시 서초구 서초동 1573-14 웅진타워
36,우아,20220422,,,,,13,영업중,서울특별시 강남구 삼성로146길 10 다인빌딩 4층 (청담동),서울특별시 강남구 청담동 62
37,박PT,20190729,,,,,13,영업중,서울특별시 서초구 사임당로17길 123 맥스빌딩 (서초동),서울특별시 서초구 서초동 1640-8 맥스빌딩
38,피트니스 프렌즈,20180625,,,,,13,영업중,서울특별시 서초구 강남대로109길 102 잠원빌딩 5층 (잠원동),서울특별시 서초구 잠원동 16-1 잠원빌딩
39,썬더짐,20180618,,,,,13,영업중,서울특별시 서초구 서초중앙로 188 상가동 L층 134호 (서초동 아크로비스타),서울특별시 서초구 서초동 1685-3 아크로비스타상가 상가동 L-134호
40,주식회사 블레스라이프 필라테스,20171031,,,,,13,영업중,서울특별시 서초구 서초대로 397 2층 203-1호 (서초동),서울특별시 서초구 서초동 1316-5 부띠크 모나코
