사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
탑 휘트니스,2004-03-31,20131221.0,,,,취소/말소/만료/정지/중지,경기도 의왕시 삼동 277-6번지,경기도 의왕시 부곡복지관길 6 (삼동),경기도 의왕시 부곡복지관길 6 (삼동),1,2013-12-21,2013,2004
구리시청소년수련관,2003-02-17,20160310.0,,,,취소/말소/만료/정지/중지,경기도 구리시 인창동 673-4번지,"경기도 구리시 건원대로34번길 32-10 (인창동, 구리청소년수련관)","경기도 구리시 건원대로34번길 32-10 (인창동, 구리청소년수련관)",1,2016-03-10,2016,2003
감골시민헬스장,2002-02-01,20151030.0,,,,취소/말소/만료/정지/중지,경기도 안산시 상록구 사동 1342번지,경기도 안산시 상록구 석호로 226 (사동),경기도 안산시 상록구 석호로 226 (사동),1,2015-10-30,2015,2002
여주국민체육센터(체력단련실),2014-02-20,20210129.0,,,,취소/말소/만료/정지/중지,경기도 여주시 천송동 561-3,경기도 여주시 여양로 190-17 (천송동),경기도 여주시 여양로 190-17 (천송동),1,2021-01-29,2021,2014
낙원헬스,1993-02-22,,,,,폐업,경기도 부천시 송내동 332-10번지,경기도 부천시 송내대로30번길 74-16 (송내동),경기도 부천시 송내대로30번길 74-16 (송내동),0,,,1993
송내헬스,2007-12-17,,,,,폐업,경기도 부천시 송내동 576-5번지,경기도 부천시 경인로150번길 25 (송내동),경기도 부천시 경인로150번길 25 (송내동),0,,,2007
센츄리헬스클럽,1997-03-28,,,,,폐업,경기도 부천시 송내동 564-4번지 3층,"경기도 부천시 경인로 155 (송내동,3층)","경기도 부천시 경인로 155 (송내동,3층)",0,,,1997
벨류필라테스 마북,2018-11-08,,,,,영업/정상,경기도 용인시 기흥구 마북동 181-2 한성프라자 306호,"경기도 용인시 기흥구 마북로 159, 한성프라자 306호 (마북동)","경기도 용인시 기흥구 마북로 159, 한성프라자 306호 (마북동)",0,,,2018
DYB GYM & QTP GYM,2018-11-19,,,,,영업/정상,경기도 평택시 이충동 610-4,"경기도 평택시 송탄로40번길 79-6, 5층 (이충동)","경기도 평택시 송탄로40번길 79-6, 5층 (이충동)",0,,,2018
짐타임,2018-11-20,,,,,영업/정상,경기도 성남시 수정구 창곡동 513 에이플타워,"경기도 성남시 수정구 위례동로 153, 에이플타워 10층 (창곡동)","경기도 성남시 수정구 위례동로 153, 에이플타워 10층 (창곡동)",0,,,2018
MVM휘트니스,2018-11-05,,,,,영업/정상,경기도 성남시 수정구 창곡동 562번지 아이페리온,"경기도 성남시 수정구 위례광장로 19, 아이페리온 5층 502~504호 (창곡동)","경기도 성남시 수정구 위례광장로 19, 아이페리온 5층 502~504호 (창곡동)",0,,,2018
제이토탈휘트니스 복정점,2018-11-05,,,,,영업/정상,경기도 성남시 수정구 복정동 689-9번지,"경기도 성남시 수정구 복정로 41, 2층 (복정동)","경기도 성남시 수정구 복정로 41, 2층 (복정동)",0,,,2018
바모스 스포츠클럽,2019-01-22,,,,,영업/정상,경기도 안산시 단원구 초지동 733-7 풍림타운,"경기도 안산시 단원구 초지2로 69, 풍림타운 2층 203호 (초지동)","경기도 안산시 단원구 초지2로 69, 풍림타운 2층 203호 (초지동)",0,,,2019
피타짐,2019-01-23,,,,,영업/정상,경기도 부천시 오정동 576-1번지,"경기도 부천시 오정로 226-1, 3,4,5층 (오정동)","경기도 부천시 오정로 226-1, 3,4,5층 (오정동)",0,,,2019
[평택]동진골프앤피트니스클럽,2019-01-17,,,,,영업/정상,경기도 평택시 도일동 995-8 빅토리 골프클럽,"경기도 평택시 도일유통길 95-50, 빅토리 골프클럽 (도일동)","경기도 평택시 도일유통길 95-50, 빅토리 골프클럽 (도일동)",0,,,2019
샤인바디짐,2019-01-17,,,,,영업/정상,경기도 안산시 단원구 고잔동 539-1번지,"경기도 안산시 단원구 고잔로 102, 대지스타타워 9층 904,905호 (고잔동)","경기도 안산시 단원구 고잔로 102, 대지스타타워 9층 904,905호 (고잔동)",0,,,2019
SR 휘트니스,2019-01-18,,,,,영업/정상,경기도 김포시 걸포동 1574-3번지 케이탑리츠 김포빌딩,"경기도 김포시 걸포로 6, 케이탑리츠 김포빌딩 5층 3,4호 (걸포동)","경기도 김포시 걸포로 6, 케이탑리츠 김포빌딩 5층 3,4호 (걸포동)",0,,,2019
핏 테라피 퍼스널트레이닝,2019-01-29,,,,,영업/정상,경기도 시흥시 능곡동 758 현대프라자,"경기도 시흥시 승지로60번길 17, 현대프라자 6층 601~602호 (능곡동)","경기도 시흥시 승지로60번길 17, 현대프라자 6층 601~602호 (능곡동)",0,,,2019
몰디브짐,2019-01-29,,,,,영업/정상,경기도 양주시 옥정동 963-3번지,"경기도 양주시 옥정로 226, 5층 507호 (옥정동)","경기도 양주시 옥정로 226, 5층 507호 (옥정동)",0,,,2019
주식회사 에스지코건강,2019-01-23,,,,,영업/정상,경기도 시흥시 계수동 759-7,경기도 시흥시 은계로 260 (계수동),경기도 시흥시 은계로 260 (계수동),0,,,2019
웰빙 Body보신,2019-01-29,,,,,영업/정상,경기도 부천시 역곡동 214 정우빌딩,"경기도 부천시 부일로779번길 38, 정우빌딩 2,3층 (역곡동)","경기도 부천시 부일로779번길 38, 정우빌딩 2,3층 (역곡동)",0,,,2019
BURNING FIT,2019-01-11,,,,,영업/정상,경기도 평택시 합정동 924-13번지,"경기도 평택시 조개터로5번길 8-17, 1층 (합정동)","경기도 평택시 조개터로5번길 8-17, 1층 (합정동)",0,,,2019
업텐션짐,2019-01-11,,,,,영업/정상,경기도 성남시 중원구 성남동 3491번지 3층,"경기도 성남시 중원구 성남대로1148번길 4, 3층 (성남동)","경기도 성남시 중원구 성남대로1148번길 4, 3층 (성남동)",0,,,2019
군포국민체육센터 헬스장,2019-01-24,,,,,영업/정상,경기도 군포시 부곡동 1226번지 군포국민체육센터,"경기도 군포시 군포로 339, 군포국민체육센터 3층 (부곡동)","경기도 군포시 군포로 339, 군포국민체육센터 3층 (부곡동)",0,,,2019
제이케이(JK)290,2019-02-27,,,,,영업/정상,경기도 성남시 중원구 성남동 2229번지,"경기도 성남시 중원구 광명로 93, 5층 (성남동)","경기도 성남시 중원구 광명로 93, 5층 (성남동)",0,,,2019
케어무브,2019-02-27,,,,,영업/정상,경기도 성남시 분당구 정자동 81-14번지,"경기도 성남시 분당구 황새울로108번길 7-1, 지하1층 (정자동)","경기도 성남시 분당구 황새울로108번길 7-1, 지하1층 (정자동)",0,,,2019
돌핀짐(Dolphin Gym),2019-01-24,,,,,영업/정상,경기도 용인시 수지구 풍덕천동 707-4,"경기도 용인시 수지구 풍덕천로129번길 15, 3층 (풍덕천동)","경기도 용인시 수지구 풍덕천로129번길 15, 3층 (풍덕천동)",0,,,2019
코어짐,2019-01-24,,,,,영업/정상,경기도 파주시 목동동 937번지 403호,"경기도 파주시 청암로17번길 41, 403호 (목동동)","경기도 파주시 청암로17번길 41, 403호 (목동동)",0,,,2019
제이토탈휘트니스 양벌점,2019-03-05,,,,,영업/정상,경기도 광주시 오포읍 양벌리 602-7번지,"경기도 광주시 오포읍 양촌길 103-12, 1층","경기도 광주시 오포읍 양촌길 103-12, 1층",0,,,2019
레드스타필드클럽,2019-02-08,,,,,영업/정상,경기도 안산시 단원구 고잔동 717-2번지 밀레니엄 1,"경기도 안산시 단원구 광덕대로 137, 밀레니엄 1 6층 609-4호 일부, 606호 일부, 607, 608,호 (고잔동)","경기도 안산시 단원구 광덕대로 137, 밀레니엄 1 6층 609-4호 일부, 606호 일부, 607, 608,호 (고잔동)",0,,,2019
레드스타필드 휘트니스,2019-02-08,,,,,영업/정상,경기도 안산시 단원구 고잔동 717-2번지 밀레니엄 1,"경기도 안산시 단원구 광덕대로 137, 밀레니엄 1 6층 605호,606호일부호 (고잔동)","경기도 안산시 단원구 광덕대로 137, 밀레니엄 1 6층 605호,606호일부호 (고잔동)",0,,,2019
어니스트짐 광교상현점,2019-02-15,,,,,영업/정상,경기도 용인시 수지구 상현동 1137 광교지웰홈스,"경기도 용인시 수지구 광교마을로 134, 광교지웰홈스 A105, A111호 (상현동)","경기도 용인시 수지구 광교마을로 134, 광교지웰홈스 A105, A111호 (상현동)",0,,,2019
김포 스프링스파 피트니스센터,2019-02-15,,,,,영업/정상,경기도 김포시 양촌읍 학운리 2981,"경기도 김포시 양촌읍 황금로109번길 1, 3층 4호","경기도 김포시 양촌읍 황금로109번길 1, 3층 4호",0,,,2019
커짐빠짐,2019-01-25,,,,,영업/정상,경기도 안산시 상록구 본오동 880-12 굿모닝리빙프라자 II 203호,"경기도 안산시 상록구 샘골로 117, 203호 (본오동, 굿모닝리빙프라자 II)","경기도 안산시 상록구 샘골로 117, 203호 (본오동, 굿모닝리빙프라자 II)",0,,,2019
