사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
"24시월드사우나,찜질방",2007-04-11,20090106.0,,,,취소/말소/만료/정지/중지,경상남도 거제시 옥포동 542-2번지 6층,"경상남도 거제시 옥포대첩로6길 13  (옥포동,6층)","경상남도 거제시 옥포대첩로6길 13  (옥포동,6층)",1,2009-01-06,2009,2007
남해라이프짐&휘트니스,2006-11-28,,,,,영업/정상,경상남도 남해군 남해읍 서변리 65-7,경상남도 남해군 남해읍 망운로19번길 39,경상남도 남해군 남해읍 망운로19번길 39,0,,,2006
청호헬스,2011-09-20,,,,,영업/정상,경상남도 김해시 삼방동 181-5 4층,"경상남도 김해시 활천로285번길 3 (삼방동, 4층)","경상남도 김해시 활천로285번길 3 (삼방동, 4층)",0,,,2011
건강해GYM,2016-04-07,,,,,영업/정상,경상남도 김해시 부원동 614-14,경상남도 김해시 호계로 419 (부원동),경상남도 김해시 호계로 419 (부원동),0,,,2016
에이스 휘트니스,2013-11-08,,,,,영업/정상,경상남도 김해시 내동 1118-5 중앙프라자 801호,"경상남도 김해시 내외중앙로 53, 801호 (내동, 중앙프라자)","경상남도 김해시 내외중앙로 53, 801호 (내동, 중앙프라자)",0,,,2013
에너지플러스,2005-05-03,,,,,영업/정상,경상남도 김해시 안동 279-10,"경상남도 김해시 분성로627번길 10, 지하1층 (안동)","경상남도 김해시 분성로627번길 10, 지하1층 (안동)",0,,,2005
굿모닝 헬스,2005-10-28,,,,,영업/정상,경상남도 김해시 부곡동 1159-2번지,"경상남도 김해시 장유로222번길 7, 5층 (부곡동)","경상남도 김해시 장유로222번길 7, 5층 (부곡동)",0,,,2005
코아헬스,2006-12-13,,,,,영업/정상,"경상남도 김해시 어방동 520-1번지 4층,5층",경상남도 김해시 인제로200번길 6 (어방동),경상남도 김해시 인제로200번길 6 (어방동),0,,,2006
마스터짐,2007-05-03,,,,,영업/정상,경상남도 김해시 진영읍 진영리 1614-9 그랜드프라자 9층전체,경상남도 김해시 진영읍 김해대로361번길 2 (그랜드프라자 9층전체),경상남도 김해시 진영읍 김해대로361번길 2 (그랜드프라자 9층전체),0,,,2007
영오헬스,2007-11-16,,,,,영업/정상,경상남도 김해시 내동 1128-4,경상남도 김해시 내외중앙로 105 (내동),경상남도 김해시 내외중앙로 105 (내동),0,,,2007
청암헬스,2008-10-16,,,,,영업/정상,경상남도 김해시 부원동 805번지,경상남도 김해시 분성로336번길 22-1 (부원동),경상남도 김해시 분성로336번길 22-1 (부원동),0,,,2008
지엑스월드,2010-03-09,,,,,영업/정상,경상남도 김해시 대청동 71-9번지 17통2반 301호,"경상남도 김해시 번화1로68번길 19, 301호 (대청동, 엔플러스투빌딩)","경상남도 김해시 번화1로68번길 19, 301호 (대청동, 엔플러스투빌딩)",0,,,2010
율하 휘트니스,2010-05-20,,,,,영업/정상,경상남도 김해시 율하동 1347-1번지,"경상남도 김해시 율하3로 22, 5층 (율하동)","경상남도 김해시 율하3로 22, 5층 (율하동)",0,,,2010
고려태권도장,2010-05-31,,,,,영업/정상,경상남도 김해시 부곡동 804-1번지 드림피아상가,"경상남도 김해시 월산로 111-43, 드림피아상가 501호 (부곡동)","경상남도 김해시 월산로 111-43, 드림피아상가 501호 (부곡동)",0,,,2010
커브스 삼문클럽,2011-05-20,,,,,영업/정상,"경상남도 김해시 부곡동 1161-2번지 203호, 204호","경상남도 김해시 능동로149번길 8, 203-204호 (부곡동, 일진프라자)","경상남도 김해시 능동로149번길 8, 203-204호 (부곡동, 일진프라자)",0,,,2011
