사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
H-헬스,2011-04-13,,,,,영업/정상,경상북도 칠곡군 왜관읍 왜관리 296-1번지,경상북도 칠곡군 왜관읍 중앙로 140,경상북도 칠곡군 왜관읍 중앙로 140,0,,,2011
삼부헬스,2013-08-28,,,,,영업/정상,경상북도 칠곡군 왜관읍 왜관리 841-15,경상북도 칠곡군 왜관읍 자조1길 9,경상북도 칠곡군 왜관읍 자조1길 9,0,,,2013
비비드 짐,2014-12-15,,,,,영업/정상,경상북도 칠곡군 석적읍 중리 150-13,경상북도 칠곡군 석적읍 북중리12길 19,경상북도 칠곡군 석적읍 북중리12길 19,0,,,2014
유원천파크,2015-11-20,,,,,영업/정상,경상북도 칠곡군 석적읍 중리 101-3번지,"경상북도 칠곡군 석적읍 동중리1길 99, 2층","경상북도 칠곡군 석적읍 동중리1길 99, 2층",0,,,2015
위즈메이커 바디핏,2015-12-30,,,,,영업/정상,경상북도 칠곡군 석적읍 남율리 622-5번지,경상북도 칠곡군 석적읍 서중리4길 18-18,경상북도 칠곡군 석적읍 서중리4길 18-18,0,,,2015
Team JJ Fitness,2016-03-22,,,,,영업/정상,경상북도 칠곡군 석적읍 중리 87-6번지,"경상북도 칠곡군 석적읍 유학로 12, 3,4층","경상북도 칠곡군 석적읍 유학로 12, 3,4층",0,,,2016
강남PT,2016-07-20,,,,,영업/정상,경상북도 칠곡군 석적읍 남율리 927번지,"경상북도 칠곡군 석적읍 남율로2길 1, 3층","경상북도 칠곡군 석적읍 남율로2길 1, 3층",0,,,2016
엑스로즈 헬스클럽,2007-08-17,,,,,영업/정상,경상북도 칠곡군 석적읍 남율리 710번지 우방@상가 803동,경상북도 칠곡군 석적읍 석적로 955-19,경상북도 칠곡군 석적읍 석적로 955-19,0,,,2007
교육문화회관 체력단련장,2010-05-17,,,,,영업/정상,경상북도 칠곡군 왜관읍 석전리 254번지,경상북도 칠곡군 왜관읍 관문로1길 32,경상북도 칠곡군 왜관읍 관문로1길 32,0,,,2010
북삼온천 하이힐,2005-03-29,,,,,영업/정상,경상북도 칠곡군 북삼읍 인평리 678-3번지,경상북도 칠곡군 북삼읍 인강5길 75,경상북도 칠곡군 북삼읍 인강5길 75,0,,,2005
왜관온천웰스파,2005-09-29,,,,,영업/정상,경상북도 칠곡군 왜관읍 왜관리 167-7번지,경상북도 칠곡군 왜관읍 군청2길 21,경상북도 칠곡군 왜관읍 군청2길 21,0,,,2005
경북헬스뱅크,2001-06-25,,,,,영업/정상,경상북도 칠곡군 약목면 관호리 879-1,경상북도 칠곡군 약목면 관호8길 5,경상북도 칠곡군 약목면 관호8길 5,0,,,2001
천호헬스피아,2002-01-28,,,,,영업/정상,경상북도 칠곡군 석적읍 중리 152-2번지,경상북도 칠곡군 석적읍 북중리11길 23,경상북도 칠곡군 석적읍 북중리11길 23,0,,,2002
YB P.T GYM,2016-11-22,,,,,영업/정상,경상북도 울진군 울진읍 읍내리 547-5 국민은행울진지점,"경상북도 울진군 울진읍 읍내로 70, 명지렉스빌 301호","경상북도 울진군 울진읍 읍내로 70, 명지렉스빌 301호",0,,,2016
장강건강헬스,2006-01-19,,,,,영업/정상,경상북도 청송군 청송읍 월막리 458번지,,경상북도 청송군 청송읍 월막리 458번지,0,,,2006
금빛 물조은 온천(금빛 휘트니스),2018-03-29,,,,,영업/정상,경상북도 예천군 호명면 산합리 1404번지,"경상북도 예천군 호명면 새움3로 6, 골드온천타워  9층","경상북도 예천군 호명면 새움3로 6, 골드온천타워  9층",0,,,2018
용인대석사백호헬스클럽,1999-09-06,,,,,영업/정상,경상북도 예천군 예천읍 대심리 71번지,경상북도 예천군 예천읍 봉덕로 18,경상북도 예천군 예천읍 봉덕로 18,0,,,1999
호림헬스피아,2004-07-06,,,,,영업/정상,경상북도 예천군 예천읍 동본리 466-7번지 남해화학비료예천대리점,"경상북도 예천군 예천읍 한천길 54, 남해화학비료예천대리점","경상북도 예천군 예천읍 한천길 54, 남해화학비료예천대리점",0,,,2004
광일휘트니스클럽,2013-10-01,,,,,영업/정상,경상북도 예천군 예천읍 남본리 235-2,경상북도 예천군 예천읍 효자로 50,경상북도 예천군 예천읍 효자로 50,0,,,2013
대신 스포랜드,2004-12-01,,,,,영업/정상,경상북도 경주시 용강동 1354-2,경상북도 경주시 소금강로29번길 17 (용강동),경상북도 경주시 소금강로29번길 17 (용강동),0,,,2004
동광토탈휘트니스,2005-01-04,,,,,영업/정상,경상북도 경주시 성건동 655-6,경상북도 경주시 봉황로 125 (성건동),경상북도 경주시 봉황로 125 (성건동),0,,,2005
용강스파휘트니스 헬스클럽,2005-11-25,,,,,영업/정상,경상북도 경주시 용강동 302-3 3층,"경상북도 경주시 다불로 33, 3층 (용강동)","경상북도 경주시 다불로 33, 3층 (용강동)",0,,,2005
북삼헬스,2018-05-21,,,,,영업/정상,경상북도 칠곡군 북삼읍 인평리 1082-7번지,"경상북도 칠곡군 북삼읍 금오대로 265-1, 세림빌딩 4층","경상북도 칠곡군 북삼읍 금오대로 265-1, 세림빌딩 4층",0,,,2018
FMPT,2018-11-20,,,,,영업/정상,경상북도 구미시 송정동 464-7,"경상북도 구미시 신시로 80, 4층 (송정동)","경상북도 구미시 신시로 80, 4층 (송정동)",0,,,2018
