사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
(주)한듬레포츠,2010-02-23,20100224.0,,,,취소/말소/만료/정지/중지,광주광역시 광산구 수완동 136-6번지,광주광역시 광산구 왕버들로 217  (수완동),광주광역시 광산구 왕버들로 217  (수완동),1,2010-02-24,2010,2010
바디채널 첨단점,2018-12-27,,,,,영업/정상,광주광역시 광산구 월계동 891-5 대성트위스밸리,"광주광역시 광산구 임방울대로800번길 72, 대성트위스밸리 3층 (월계동)","광주광역시 광산구 임방울대로800번길 72, 대성트위스밸리 3층 (월계동)",0,,,2018
기아짐,2019-01-15,,,,,영업/정상,광주광역시 서구 금호동 766-18,"광주광역시 서구 운천로 10-1, 3층 (금호동)","광주광역시 서구 운천로 10-1, 3층 (금호동)",0,,,2019
신쌤 피트니스,2019-01-28,,,,,영업/정상,광주광역시 서구 치평동 1249번지 상무광명메이루즈 217호,"광주광역시 서구 시청로 27, 상가동 2층 217호 (치평동, 상무광명메이루즈)","광주광역시 서구 시청로 27, 상가동 2층 217호 (치평동, 상무광명메이루즈)",0,,,2019
필립스튜디오 피티,2019-01-14,,,,,영업/정상,광주광역시 남구 봉선동 497-45번지,"광주광역시 남구 봉선로121번길 10, 2층 (봉선동)","광주광역시 남구 봉선로121번길 10, 2층 (봉선동)",0,,,2019
ES머슬퀸,2022-04-20,,,,,영업/정상,광주광역시 서구 농성동 415-16,광주광역시 서구 내방로418번길 4 (농성동),광주광역시 서구 내방로418번길 4 (농성동),0,,,2022
피티 스튜디오 와이,2022-04-21,,,,,영업/정상,광주광역시 광산구 월계동 872-5,"광주광역시 광산구 첨단중앙로124번길 79, 2층 (월계동)","광주광역시 광산구 첨단중앙로124번길 79, 2층 (월계동)",0,,,2022
올라운드 스포츠,2019-03-28,,,,,영업/정상,광주광역시 광산구 쌍암동 694-74번지 2층,"광주광역시 광산구 첨단강변로99번길 21, 2층 201·202호 (쌍암동, 윤진리안채)","광주광역시 광산구 첨단강변로99번길 21, 2층 201·202호 (쌍암동, 윤진리안채)",0,,,2019
퍼센트 짐,2019-04-18,,,,,영업/정상,광주광역시 북구 운암동 853번지 코아빌딩 3층,"광주광역시 북구 서강로54번길 22, 코아빌딩 3층 (운암동)","광주광역시 북구 서강로54번길 22, 코아빌딩 3층 (운암동)",0,,,2019
육체미,2019-06-17,,,,,영업/정상,광주광역시 광산구 수완동 1117번지 3층 301호,"광주광역시 광산구 장신로147번길 6, 3층 301호 (수완동)","광주광역시 광산구 장신로147번길 6, 3층 301호 (수완동)",0,,,2019
임gym,2019-06-04,,,,,영업/정상,광주광역시 남구 봉선동 1011-6,"광주광역시 남구 봉선1로 44-1, 2층 (봉선동)","광주광역시 남구 봉선1로 44-1, 2층 (봉선동)",0,,,2019
웰니스짐,2019-05-03,,,,,영업/정상,광주광역시 광산구 선암동 562번지 5층,"광주광역시 광산구 선운중앙로 46, 5층 (선암동)","광주광역시 광산구 선운중앙로 46, 5층 (선암동)",0,,,2019
플렉스 짐,2019-05-08,,,,,영업/정상,광주광역시 광산구 월계동 892-5번지 5층 502호,"광주광역시 광산구 월계로 191, 5층 502호 (월계동)","광주광역시 광산구 월계로 191, 5층 502호 (월계동)",0,,,2019
태양피트니스,2019-05-20,,,,,영업/정상,광주광역시 서구 화정동 1403번지,"광주광역시 서구 군분로119번길 18, 4층 (화정동)","광주광역시 서구 군분로119번길 18, 4층 (화정동)",0,,,2019
KING`S GYM,2019-04-22,,,,,영업/정상,광주광역시 서구 치평동 1180번지,"광주광역시 서구 상무중앙로 43, 2층 203호, 204호 (치평동)","광주광역시 서구 상무중앙로 43, 2층 203호, 204호 (치평동)",0,,,2019
CIass GYM,2019-04-02,,,,,영업/정상,광주광역시 서구 풍암동 1106-1번지,"광주광역시 서구 회재로 1050, 캐슬온리뷰 2층 203호 (풍암동)","광주광역시 서구 회재로 1050, 캐슬온리뷰 2층 203호 (풍암동)",0,,,2019
백두산 휘트니스,2019-05-15,,,,,영업/정상,광주광역시 광산구 우산동 1583-1번지 5층,"광주광역시 광산구 사암로 214, 5층 (우산동)","광주광역시 광산구 사암로 214, 5층 (우산동)",0,,,2019
릴라이브PT,2019-05-23,,,,,영업/정상,광주광역시 서구 농성동 666-1번지,"광주광역시 서구 화정로 259, 지플레이스빌딩 2층 (농성동)","광주광역시 서구 화정로 259, 지플레이스빌딩 2층 (농성동)",0,,,2019
러블리짐,2019-05-16,,,,,영업/정상,광주광역시 서구 치평동 1244-11번지,"광주광역시 서구 상무자유로 176, 3층 (치평동)","광주광역시 서구 상무자유로 176, 3층 (치평동)",0,,,2019
HJ피티센터,2017-06-22,,,,,영업/정상,광주광역시 북구 풍향동 580-20번지 3층,"광주광역시 북구 필문대로 85, 3층 (풍향동)","광주광역시 북구 필문대로 85, 3층 (풍향동)",0,,,2017
크로스핏 태풍,2017-08-16,,,,,영업/정상,광주광역시 북구 양산동 743번지 지하 1층 2호,"광주광역시 북구 양산택지로51번길 1, 지하 1층 2호 (양산동)","광주광역시 북구 양산택지로51번길 1, 지하 1층 2호 (양산동)",0,,,2017
NS휘트니스,2017-08-24,,,,,영업/정상,광주광역시 북구 오치동 723번지 4층,"광주광역시 북구 설죽로 358, 4층 (오치동)","광주광역시 북구 설죽로 358, 4층 (오치동)",0,,,2017
스트렝스짐,2017-09-20,,,,,영업/정상,광주광역시 북구 용봉동 1253-5번지 지하1층,"광주광역시 북구 설죽로202번길 89, 지하1층 (용봉동)","광주광역시 북구 설죽로202번길 89, 지하1층 (용봉동)",0,,,2017
육탑스포츠,2017-10-23,,,,,영업/정상,광주광역시 북구 삼각동 753-30번지 3층,"광주광역시 북구 설죽로 394, 3층 (삼각동)","광주광역시 북구 설죽로 394, 3층 (삼각동)",0,,,2017
Supreme GYM,2017-12-12,,,,,영업/정상,광주광역시 북구 일곡동 854-8 용주빌라,"광주광역시 북구 일곡택지로99번길 14-1, 용주빌라 1층 (일곡동)","광주광역시 북구 일곡택지로99번길 14-1, 용주빌라 1층 (일곡동)",0,,,2017
나무 휘트니스,2017-12-20,,,,,영업/정상,광주광역시 북구 양산동 233번지 경일빌딩,"광주광역시 북구 하서로 396, 경일빌딩 5층 (양산동)","광주광역시 북구 하서로 396, 경일빌딩 5층 (양산동)",0,,,2017
칼라스 헬스,2018-06-20,,,,,영업/정상,광주광역시 북구 연제동 1061,"광주광역시 북구 첨단연신로 25, 203호 (연제동)","광주광역시 북구 첨단연신로 25, 203호 (연제동)",0,,,2018
리컨 트레이닝 센터,2018-07-19,,,,,영업/정상,광주광역시 북구 운암동 97-1번지,"광주광역시 북구 북문대로 17, 2층 (운암동)","광주광역시 북구 북문대로 17, 2층 (운암동)",0,,,2018
라이징 스타,2014-08-18,,,,,영업/정상,광주광역시 북구 신용동 706번지,"광주광역시 북구 첨단연신로107번길 25, 3,4층 (신용동)","광주광역시 북구 첨단연신로107번길 25, 3,4층 (신용동)",0,,,2014
Y 휘트니스 클럽,2014-09-19,,,,,영업/정상,광주광역시 북구 신용동 730,"광주광역시 북구 첨단연신로91번길 14, 6층 (신용동)","광주광역시 북구 첨단연신로91번길 14, 6층 (신용동)",0,,,2014
펀스펀스성장비만센터,2015-07-09,,,,,영업/정상,광주광역시 북구 본촌동 3070번지,광주광역시 북구 양산택지로 80 (본촌동),광주광역시 북구 양산택지로 80 (본촌동),0,,,2015
JUST GYM,2016-01-22,,,,,영업/정상,광주광역시 북구 오치동 775-3번지,"광주광역시 북구 설죽로320번길 28, 2층 (오치동)","광주광역시 북구 설죽로320번길 28, 2층 (오치동)",0,,,2016
