사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
어썸피트니스,2018-11-19,,,,,영업/정상,대전광역시 유성구 궁동 479-11번지,대전광역시 유성구 한밭대로 404 (궁동),대전광역시 유성구 한밭대로 404 (궁동),0,,,2018
볼트짐휘트니스,2019-02-19,,,,,영업/정상,대전광역시 유성구 궁동 482-4번지 포커스타운 401호,"대전광역시 유성구 대학로 86, 포커스타운 401호 (궁동)","대전광역시 유성구 대학로 86, 포커스타운 401호 (궁동)",0,,,2019
S·GYM,2019-01-07,,,,,영업/정상,대전광역시 유성구 원내동 320-5번지,"대전광역시 유성구 원내로 36, 3층 (원내동)","대전광역시 유성구 원내로 36, 3층 (원내동)",0,,,2019
유에스타운,2019-02-14,,,,,영업/정상,"대전광역시 유성구 전민동 303-8 도우빌딩 3,4층","대전광역시 유성구 전민로70번길 13, 도우빌딩 3,4층 (전민동)","대전광역시 유성구 전민로70번길 13, 도우빌딩 3,4층 (전민동)",0,,,2019
(주)드림바디,2019-03-06,,,,,영업/정상,대전광역시 서구 괴정동 426-1 리베라 아이누리,"대전광역시 서구 용문로 41-80, 2층 (괴정동, 리베라 아이누리)","대전광역시 서구 용문로 41-80, 2층 (괴정동, 리베라 아이누리)",0,,,2019
스타트짐,2022-04-20,,,,,영업/정상,대전광역시 서구 도안동 1762,"대전광역시 서구 도안동로11번길 54, 비전타워I 4층 403호 (도안동)","대전광역시 서구 도안동로11번길 54, 비전타워I 4층 403호 (도안동)",0,,,2022
All PT studio,2022-04-21,,,,,영업/정상,대전광역시 동구 인동 212-23,"대전광역시 동구 대전로 661, 3층 (인동)","대전광역시 동구 대전로 661, 3층 (인동)",0,,,2022
청춘 P.T,2019-06-17,,,,,영업/정상,대전광역시 유성구 덕명동 587-11,"대전광역시 유성구 학하서로121번길 107, 3층 (덕명동)","대전광역시 유성구 학하서로121번길 107, 3층 (덕명동)",0,,,2019
M.W FITNESS 3호점,2019-04-08,,,,,영업/정상,대전광역시 서구 둔산동 1090번지,"대전광역시 서구 대덕대로195번길 64, 4층 (둔산동)","대전광역시 서구 대덕대로195번길 64, 4층 (둔산동)",0,,,2019
sixpacktory,2019-04-08,,,,,영업/정상,대전광역시 서구 도안동 1306번지,"대전광역시 서구 원도안로179번길 22-34, 1층 (도안동)","대전광역시 서구 원도안로179번길 22-34, 1층 (도안동)",0,,,2019
라라휘트니스,2019-05-02,,,,,영업/정상,대전광역시 유성구 어은동 115-4번지,"대전광역시 유성구 대학로 225, 4층 (어은동)","대전광역시 유성구 대학로 225, 4층 (어은동)",0,,,2019
가온헬스,2019-04-29,,,,,영업/정상,대전광역시 중구 대흥동 445-7번지 영은빌딩,"대전광역시 중구 충무로107번길 122, 영은빌딩 4층 (대흥동)","대전광역시 중구 충무로107번길 122, 영은빌딩 4층 (대흥동)",0,,,2019
B & S GYM,2019-05-23,,,,,영업/정상,대전광역시 유성구 계산동 803-7 101호,"대전광역시 유성구 학하중앙로 112, 101호 (계산동)","대전광역시 유성구 학하중앙로 112, 101호 (계산동)",0,,,2019
APEX GYM,2019-05-15,,,,,영업/정상,대전광역시 중구 유천동 326-8번지,"대전광역시 중구 태평로 18, 2층 (유천동)","대전광역시 중구 태평로 18, 2층 (유천동)",0,,,2019
굿라이프 스포츠,2019-01-07,,,,,영업/정상,대전광역시 대덕구 중리동 362-1번지 지하2층,"대전광역시 대덕구 중리서로 83, 지하2층 (중리동)","대전광역시 대덕구 중리서로 83, 지하2층 (중리동)",0,,,2019
대전북부새마을금고 휘트니스센터(4층),2019-02-25,,,,,영업/정상,대전광역시 대덕구 덕암동 13-4번지 새마을금고,"대전광역시 대덕구 덕암북로 84, 새마을금고 4층 (덕암동)","대전광역시 대덕구 덕암북로 84, 새마을금고 4층 (덕암동)",0,,,2019
투모어휘트니스,2019-09-27,,,,,영업/정상,대전광역시 유성구 원신흥동 491-7,"대전광역시 유성구 봉명로 27-27, 2층 (원신흥동)","대전광역시 유성구 봉명로 27-27, 2층 (원신흥동)",0,,,2019
B&J휘트니스,2019-09-30,,,,,영업/정상,대전광역시 대덕구 오정동 62-1번지 2층,"대전광역시 대덕구 한밭대로 1027, 2층 (오정동)","대전광역시 대덕구 한밭대로 1027, 2층 (오정동)",0,,,2019
대전시립종합복지관헬스장,2001-03-15,,,,,영업/정상,대전광역시 중구 산성동 120-18번지,대전광역시 중구 유등천동로 232 (산성동),대전광역시 중구 유등천동로 232 (산성동),0,,,2001
더바디짐,2019-09-06,,,,,영업/정상,대전광역시 대덕구 오정동 223-216번지 3층,"대전광역시 대덕구 한남로12번길 29, 3층 (오정동)","대전광역시 대덕구 한남로12번길 29, 3층 (오정동)",0,,,2019
바디 타임즈,2019-08-16,,,,,영업/정상,대전광역시 서구 가수원동 1039 럭키프라자,"대전광역시 서구 도안동로11번길 25, 럭키프라자 5층 (가수원동)","대전광역시 서구 도안동로11번길 25, 럭키프라자 5층 (가수원동)",0,,,2019
유에스타운 휘트니스 도안9호점,2019-08-12,,,,,영업/정상,대전광역시 서구 도안동 1321번지,"대전광역시 서구 원도안로179번길 57, 1층 (도안동)","대전광역시 서구 원도안로179번길 57, 1층 (도안동)",0,,,2019
헬스보이짐,2019-09-11,,,,,영업/정상,대전광역시 서구 둔산동 1291 고운손빌딩,"대전광역시 서구 둔산서로 59, 고운손빌딩 5층 (둔산동)","대전광역시 서구 둔산서로 59, 고운손빌딩 5층 (둔산동)",0,,,2019
Brighten Fitness(브라이튼 휘트니스),2019-09-03,,,,,영업/정상,대전광역시 서구 둔산동 1071번지 소레드빌딩,"대전광역시 서구 둔산로 26, 소레드빌딩 603호 (둔산동)","대전광역시 서구 둔산로 26, 소레드빌딩 603호 (둔산동)",0,,,2019
팀던 트레이닝센터,2019-08-20,,,,,영업/정상,대전광역시 유성구 계산동 723-6,대전광역시 유성구 학하서로 43 (계산동),대전광역시 유성구 학하서로 43 (계산동),0,,,2019
투모어휘트니스 지족점,2022-04-08,,,,,영업/정상,대전광역시 유성구 지족동 1021,"대전광역시 유성구 지족로 273, 2층 201호 (지족동)","대전광역시 유성구 지족로 273, 2층 201호 (지족동)",0,,,2022
GYM OF KING,2022-04-15,,,,,영업/정상,대전광역시 서구 내동 17-11,"대전광역시 서구 도산로253번길 51, 2층 (내동)","대전광역시 서구 도산로253번길 51, 2층 (내동)",0,,,2022
온어스 PT,2022-04-15,,,,,영업/정상,대전광역시 서구 둔산동 1413 파이낸스빌딩,"대전광역시 서구 둔산중로 50, 파이낸스빌딩 4층 403호 (둔산동)","대전광역시 서구 둔산중로 50, 파이낸스빌딩 4층 403호 (둔산동)",0,,,2022
이로움 프라이빗 피티 센터,2022-04-15,,,,,영업/정상,대전광역시 서구 둔산동 989,"대전광역시 서구 대덕대로217번길 32, 4층 (둔산동)","대전광역시 서구 대덕대로217번길 32, 4층 (둔산동)",0,,,2022
엔젤짐,2019-12-10,,,,,영업/정상,대전광역시 대덕구 송촌동 459-2 9층,"대전광역시 대덕구 계족산로81번길 74, 9층 (송촌동)","대전광역시 대덕구 계족산로81번길 74, 9층 (송촌동)",0,,,2019
플랜에이,2019-12-20,,,,,영업/정상,대전광역시 유성구 궁동 410-13 2층 201호,"대전광역시 유성구 대학로151번길 25, 2층 201호 (궁동)","대전광역시 유성구 대학로151번길 25, 2층 201호 (궁동)",0,,,2019
PT 더함,2019-10-18,,,,,영업/정상,대전광역시 유성구 봉명동 617-4 레자미 멀티홈,"대전광역시 유성구 온천북로 7, 201호 (봉명동, 레자미 멀티홈)","대전광역시 유성구 온천북로 7, 201호 (봉명동, 레자미 멀티홈)",0,,,2019
크로스핏 팔팔,2019-10-25,,,,,영업/정상,대전광역시 유성구 봉명동 551-10번지 지하1층,"대전광역시 유성구 계룡로 105, 지하1층층 (봉명동)","대전광역시 유성구 계룡로 105, 지하1층층 (봉명동)",0,,,2019
SD 프리미엄 PT샵,2019-10-11,,,,,영업/정상,대전광역시 유성구 전민동 337-1번지 2층,"대전광역시 유성구 전민로70번길 36, 2층 (전민동)","대전광역시 유성구 전민로70번길 36, 2층 (전민동)",0,,,2019
좋은날 휘트니스,2019-10-04,,,,,영업/정상,대전광역시 동구 판암동 244번지,"대전광역시 동구 동부로 47, 3층 (판암동)","대전광역시 동구 동부로 47, 3층 (판암동)",0,,,2019
원케이 피트니스,2022-02-17,,,,,영업/정상,대전광역시 대덕구 석봉동 770 금강엑슬루타워,"대전광역시 대덕구 대덕대로 1555, 상가동 4층 403호 (석봉동, 금강엑슬루타워)","대전광역시 대덕구 대덕대로 1555, 상가동 4층 403호 (석봉동, 금강엑슬루타워)",0,,,2022
림.피티(LIM.PT),2022-02-16,,,,,영업/정상,대전광역시 서구 탄방동 707 나비家 아르누보팰리스,"대전광역시 서구 둔산중로 20, 나비家 아르누보팰리스 110호 (탄방동)","대전광역시 서구 둔산중로 20, 나비家 아르누보팰리스 110호 (탄방동)",0,,,2022
포레스핏,2022-04-05,,,,,영업/정상,대전광역시 서구 갈마동 1435,"대전광역시 서구 대덕대로 164, 8층 (갈마동)","대전광역시 서구 대덕대로 164, 8층 (갈마동)",0,,,2022
아트지짐,2022-02-08,,,,,영업/정상,대전광역시 서구 월평동 235,"대전광역시 서구 월평북로 81, 4층 (월평동)","대전광역시 서구 월평북로 81, 4층 (월평동)",0,,,2022
바디핏 피트니스,2022-02-03,,,,,영업/정상,대전광역시 서구 도마동 50-7,"대전광역시 서구 도마로 6, 2층 (도마동)","대전광역시 서구 도마로 6, 2층 (도마동)",0,,,2022
리바이브짐,2022-03-22,,,,,영업/정상,대전광역시 서구 도안동 1079,"대전광역시 서구 원도안로224번길 47-27, 1층 (도안동)","대전광역시 서구 원도안로224번길 47-27, 1층 (도안동)",0,,,2022
JM FIT,2022-03-02,,,,,영업/정상,대전광역시 서구 도마동 180-17,"대전광역시 서구 도산로 9, 2층 (도마동)","대전광역시 서구 도산로 9, 2층 (도마동)",0,,,2022
크로스핏 에이플러스,2022-03-03,,,,,영업/정상,대전광역시 동구 자양동 103-6,"대전광역시 동구 백룡로 23, 지하1층 (자양동)","대전광역시 동구 백룡로 23, 지하1층 (자양동)",0,,,2022
