사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
금정산온천레포츠,2005-03-25,20210413.0,,,,취소/말소/만료/정지/중지,부산광역시 금정구 구서동 203-5 금정산온천 4층,"부산광역시 금정구 구서중앙로15번길 20, 금정산온천 4층 (구서동)","부산광역시 금정구 구서중앙로15번길 20, 금정산온천 4층 (구서동)",1,2021-04-13,2021,2005
피트니스 코리아,2020-08-05,,,,20200921.0,폐업,부산광역시 동구 초량동 207-7,"부산광역시 동구 중앙대로231번길 16, 3층 (초량동)","부산광역시 동구 중앙대로231번길 16, 3층 (초량동)",1,2020-09-21,2020,2020
매드맥스짐,2018-12-04,,,,,영업/정상,부산광역시 연제구 연산동 739-3번지 행복한메디컬센타,"부산광역시 연제구 월드컵대로 128, 행복한메디컬센타 지하층 (연산동)","부산광역시 연제구 월드컵대로 128, 행복한메디컬센타 지하층 (연산동)",0,,,2018
베스트피트니스2,2018-11-19,,,,,영업/정상,부산광역시 해운대구 우동 1432번지 현대베네시티아파트,"부산광역시 해운대구 해운대해변로 163, B101호 (우동, 현대베네시티아파트)","부산광역시 해운대구 해운대해변로 163, B101호 (우동, 현대베네시티아파트)",0,,,2018
(주)올집웰리빙서비스 올짐휘트니스 시청지점,2019-01-11,,,,,영업/정상,부산광역시 연제구 연산동 822-6 시청스마트더블유아파트,"부산광역시 연제구 연수로 103, 지하1층 101호 (연산동, 시청스마트더블유아파트)","부산광역시 연제구 연수로 103, 지하1층 101호 (연산동, 시청스마트더블유아파트)",0,,,2019
워너짐,2019-01-22,,,,,영업/정상,부산광역시 서구 부민동1가 16-8 명보빌딩,"부산광역시 서구 구덕로 216, 명보빌딩 2층 (부민동1가)","부산광역시 서구 구덕로 216, 명보빌딩 2층 (부민동1가)",0,,,2019
건강더함 바른운동센터,2019-01-18,,,,,영업/정상,부산광역시 북구 화명동 2271-6 범서미라클,"부산광역시 북구 화명신도시로 127, 범서미라클 501,502,503호 (화명동)","부산광역시 북구 화명신도시로 127, 범서미라클 501,502,503호 (화명동)",0,,,2019
다짐휘트니스,2019-01-18,,,,,영업/정상,부산광역시 사하구 구평동 506-3번지 3층,"부산광역시 사하구 서포로30번길 3, 3층 (구평동)","부산광역시 사하구 서포로30번길 3, 3층 (구평동)",0,,,2019
황민헬스클럽,2019-02-11,,,,,영업/정상,부산광역시 동래구 사직동 56-13번지,"부산광역시 동래구 아시아드대로 179, 8층 (사직동)","부산광역시 동래구 아시아드대로 179, 8층 (사직동)",0,,,2019
바디피플,2019-03-05,,,,,영업/정상,부산광역시 사하구 괴정동 553-9,부산광역시 사하구 장평로 441 (괴정동),부산광역시 사하구 장평로 441 (괴정동),0,,,2019
타임핏휘트니스,2019-02-11,,,,,영업/정상,부산광역시 연제구 거제동 1490-2번지 협성프라자빌딩,"부산광역시 연제구 법원로32번길 10, 협성프라자빌딩 지하1층 (거제동)","부산광역시 연제구 법원로32번길 10, 협성프라자빌딩 지하1층 (거제동)",0,,,2019
리핏,2020-08-03,,,,,영업/정상,부산광역시 해운대구 우동 1092-2 3층,"부산광역시 해운대구 해운대로383번길 47, 3층 (우동)","부산광역시 해운대구 해운대로383번길 47, 3층 (우동)",0,,,2020
윈즈 휘트니스,2019-01-31,,,,,영업/정상,부산광역시 부산진구 범천동 846-18번지 신부산학원,"부산광역시 부산진구 범일로 148, 신부산학원 9층 (범천동)","부산광역시 부산진구 범일로 148, 신부산학원 9층 (범천동)",0,,,2019
지원탕헬스,2019-03-15,,,,,영업/정상,부산광역시 동래구 온천동 1441-37 지원빌딩,"부산광역시 동래구 중앙대로1307번길 40, 지원빌딩 5,6층 (온천동)","부산광역시 동래구 중앙대로1307번길 40, 지원빌딩 5,6층 (온천동)",0,,,2019
(주)레인보우프로젝트(연산지점),2019-01-30,,,,,영업/정상,부산광역시 연제구 연산동 702-1번지 프라임시티,"부산광역시 연제구 중앙대로 1090, 프라임시티 5층 (연산동)","부산광역시 연제구 중앙대로 1090, 프라임시티 5층 (연산동)",0,,,2019
댄스점핑다이어트,2019-02-19,,,,,영업/정상,부산광역시 남구 대연동 1752-15번지,"부산광역시 남구 수영로196번길 7, 3층 (대연동)","부산광역시 남구 수영로196번길 7, 3층 (대연동)",0,,,2019
트렌드 핏,2019-02-25,,,,,영업/정상,부산광역시 해운대구 반여동 1628-5 화목빌딩,"부산광역시 해운대구 반여로 108, 화목빌딩 2층 (반여동)","부산광역시 해운대구 반여로 108, 화목빌딩 2층 (반여동)",0,,,2019
UFC 팀레전드 부부동네헬스,2019-01-14,,,,,영업/정상,부산광역시 수영구 광안동 491-17 부광,"부산광역시 수영구 수영로 621, 지하1층 (광안동, 부광)","부산광역시 수영구 수영로 621, 지하1층 (광안동, 부광)",0,,,2019
GLOW GYM,2019-03-27,,,,,영업/정상,부산광역시 해운대구 반여동 1639-5번지 반여1동새마을금고,"부산광역시 해운대구 선수촌로 92, 반여1동새마을금고 3층 (반여동)","부산광역시 해운대구 선수촌로 92, 반여1동새마을금고 3층 (반여동)",0,,,2019
제이투피트니스,2019-03-22,,,,,영업/정상,부산광역시 부산진구 개금동 201-10번지,"부산광역시 부산진구 가야대로 473, 지하1층 (개금동)","부산광역시 부산진구 가야대로 473, 지하1층 (개금동)",0,,,2019
더 미라클 짐,2019-01-08,,,,,영업/정상,부산광역시 중구 대청동2가 25-2,"부산광역시 중구 광복중앙로 34, 4층 (대청동2가)","부산광역시 중구 광복중앙로 34, 4층 (대청동2가)",0,,,2019
우리무브먼트 스튜디오,2019-01-09,,,,,영업/정상,부산광역시 해운대구 우동 1408번지 해운대아이파크,"부산광역시 해운대구 마린시티2로 38, C2동 208,209호 (우동, 해운대아이파크)","부산광역시 해운대구 마린시티2로 38, C2동 208,209호 (우동, 해운대아이파크)",0,,,2019
알통클럽 피트니스,2019-02-13,,,,,영업/정상,부산광역시 강서구 명지동 3597-2번지 SR빌딩 10층,"부산광역시 강서구 명지국제1로 60-1, SR빌딩 10층 (명지동)","부산광역시 강서구 명지국제1로 60-1, SR빌딩 10층 (명지동)",0,,,2019
알통클럽 운동기능센터,2019-02-13,,,,,영업/정상,부산광역시 강서구 명지동 3597-2번지 SR빌딩 10층,"부산광역시 강서구 명지국제1로 60-1, SR빌딩 10층 (명지동)","부산광역시 강서구 명지국제1로 60-1, SR빌딩 10층 (명지동)",0,,,2019
맥시멈요가,2019-02-13,,,,,영업/정상,부산광역시 강서구 신호동 217-1번지 7층,"부산광역시 강서구 신호산단2로 33, 7층 (신호동)","부산광역시 강서구 신호산단2로 33, 7층 (신호동)",0,,,2019
하이스트 킨더짐,2019-02-21,,,,,영업/정상,부산광역시 서구 동대신동2가 371-4번지,"부산광역시 서구 구덕로 306, 3층 (동대신동2가)","부산광역시 서구 구덕로 306, 3층 (동대신동2가)",0,,,2019
비엠 필라테스&PT,2019-02-22,,,,,영업/정상,부산광역시 해운대구 재송동 1209번지 센텀아이에스타워,"부산광역시 해운대구 센텀북대로 60, 센텀아이에스타워 2015호 (재송동)","부산광역시 해운대구 센텀북대로 60, 센텀아이에스타워 2015호 (재송동)",0,,,2019
moodfit,2022-04-26,,,,,영업/정상,부산광역시 부산진구 전포동 188-12,"부산광역시 부산진구 동성로96번길 6, 2층 (전포동)","부산광역시 부산진구 동성로96번길 6, 2층 (전포동)",0,,,2022
금정산부곡온천,2019-02-07,,,,,영업/정상,부산광역시 금정구 부곡동 63-1번지,"부산광역시 금정구 수림로20번길 36, 5,6층 (부곡동)","부산광역시 금정구 수림로20번길 36, 5,6층 (부곡동)",0,,,2019
트렌드핏 남천점,2019-02-22,,,,,영업/정상,부산광역시 수영구 남천동 47-9번지,"부산광역시 수영구 수영로 477, 2층 (남천동)","부산광역시 수영구 수영로 477, 2층 (남천동)",0,,,2019
오성피트니스,2019-02-26,,,,,영업/정상,부산광역시 부산진구 양정동 255-1,"부산광역시 부산진구 거제천로44번길 8, 1층 (양정동)","부산광역시 부산진구 거제천로44번길 8, 1층 (양정동)",0,,,2019
하바스 다이어트 스쿨,2019-04-23,,,,,영업/정상,부산광역시 동래구 온천동 200-30번지 온천빌딩,"부산광역시 동래구 금강로 79, 온천빌딩 (온천동)","부산광역시 동래구 금강로 79, 온천빌딩 (온천동)",0,,,2019
CrossFit ASLAN,2019-04-22,,,,,영업/정상,부산광역시 중구 대청동2가 25-2,부산광역시 중구 광복중앙로 34 (대청동2가),부산광역시 중구 광복중앙로 34 (대청동2가),0,,,2019
GOTO 냉정점,2019-05-24,,,,,영업/정상,부산광역시 사상구 주례동 60-5번지 신성빌딩,"부산광역시 사상구 가야대로 374, 6층 (주례동)","부산광역시 사상구 가야대로 374, 6층 (주례동)",0,,,2019
바로 피트니스,2019-05-21,,,,,영업/정상,부산광역시 부산진구 부전동 217-1,"부산광역시 부산진구 중앙대로692번길 38, 은하빌딩 지하2층 (부전동)","부산광역시 부산진구 중앙대로692번길 38, 은하빌딩 지하2층 (부전동)",0,,,2019
더피티,2019-04-12,,,,,영업/정상,부산광역시 남구 용호동 495-34번지 장우동,"부산광역시 남구 용호로197번길 3, 장우동 2층 (용호동)","부산광역시 남구 용호로197번길 3, 장우동 2층 (용호동)",0,,,2019
