사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
FW FITNESS,2018-11-19,,,,,영업/정상,울산광역시 남구 무거동 327-19번지,"울산광역시 남구 북부순환도로1번길 7, 3층 (무거동)","울산광역시 남구 북부순환도로1번길 7, 3층 (무거동)",0,,,2018
메루치양식장,2018-11-19,,,,,영업/정상,울산광역시 남구 무거동 621-19,"울산광역시 남구 대학로64번길 7-19, 202호 (무거동)","울산광역시 남구 대학로64번길 7-19, 202호 (무거동)",0,,,2018
네오피티 운동센터,2018-11-20,,,,,영업/정상,울산광역시 남구 달동 1253-3번지,"울산광역시 남구 삼산로 232, 6층 (달동)","울산광역시 남구 삼산로 232, 6층 (달동)",0,,,2018
G-Fit Fitness,2018-12-04,,,,,영업/정상,울산광역시 중구 남외동 483-11 SkyM빌딩,"울산광역시 중구 번영로 580, SkyM빌딩 10층 1001, 1002호 (남외동)","울산광역시 중구 번영로 580, SkyM빌딩 10층 1001, 1002호 (남외동)",0,,,2018
더 바이브 핏,2018-11-07,,,,,영업/정상,울산광역시 남구 옥동 285-5번지,"울산광역시 남구 법대로8번길 3, 3층 (옥동)","울산광역시 남구 법대로8번길 3, 3층 (옥동)",0,,,2018
원피티(ONEPT),2019-01-21,,,,,영업/정상,울산광역시 남구 삼산동 214-6번지,"울산광역시 남구 남중로74번길 21, 2층 (삼산동)","울산광역시 남구 남중로74번길 21, 2층 (삼산동)",0,,,2019
히어로스파(헬스),2019-03-15,,,,,영업/정상,울산광역시 북구 매곡동 643-2,"울산광역시 북구 매곡본길 16, 4층 (매곡동)","울산광역시 북구 매곡본길 16, 4층 (매곡동)",0,,,2019
뉴핏휘트니스,2019-01-13,,,,,영업/정상,울산광역시 남구 달동 1360-3번지,"울산광역시 남구 삼산로 217, 달동 12층 (달동)","울산광역시 남구 삼산로 217, 달동 12층 (달동)",0,,,2019
드래곤프로핏센터,2019-06-04,,,,,영업/정상,울산광역시 남구 옥동 191-58번지 옥동성도아파트,"울산광역시 남구 문수로335번길 51, 2층 206호 (옥동, 옥동성도아파트)","울산광역시 남구 문수로335번길 51, 2층 206호 (옥동, 옥동성도아파트)",0,,,2019
머큐어 휘트니스,2019-04-19,,,,,영업/정상,울산광역시 북구 산하동 509-1,"울산광역시 북구 강동산하2로 7, 4층 (산하동)","울산광역시 북구 강동산하2로 7, 4층 (산하동)",0,,,2019
하이바디짐,2017-12-01,,,,,영업/정상,울산광역시 북구 신천동 745-88번지,울산광역시 북구 제내5길 18 (신천동),울산광역시 북구 제내5길 18 (신천동),0,,,2017
구영웰빙온천,2006-09-15,,,,,영업/정상,울산광역시 울주군 범서읍 구영리 1004,"울산광역시 울주군 범서읍 점촌6길 21, 4층","울산광역시 울주군 범서읍 점촌6길 21, 4층",0,,,2006
ubc건강센터,2004-10-04,,,,,영업/정상,울산광역시 남구 신정동 678번지,울산광역시 남구 삼산로35번길 18 (신정동),울산광역시 남구 삼산로35번길 18 (신정동),0,,,2004
대영휘트니스,2007-03-07,,,,,영업/정상,울산광역시 남구 달동 99-7 4층,"울산광역시 남구 도산로119번길 7 (달동,4층)","울산광역시 남구 도산로119번길 7 (달동,4층)",0,,,2007
커브스삼산클럽,2010-01-21,,,,,영업/정상,울산광역시 남구 삼산동 1472-6 외 1필지,울산광역시 남구 돋질로 279 (삼산동),울산광역시 남구 돋질로 279 (삼산동),0,,,2010
알통짐,2019-08-29,,,,,영업/정상,울산광역시 남구 달동 862-16번지,"울산광역시 남구 삼산로83번길 10, 2,3층 (달동)","울산광역시 남구 삼산로83번길 10, 2,3층 (달동)",0,,,2019
로얄피트니스,2019-07-10,,,,,영업/정상,울산광역시 울주군 범서읍 구영리 378-9,"울산광역시 울주군 범서읍 구영로 155, 4, 5층","울산광역시 울주군 범서읍 구영로 155, 4, 5층",0,,,2019
더린 피트니스,2019-08-07,,,,,영업/정상,울산광역시 북구 호계동 214-4번지,"울산광역시 북구 호계로 275, B동 3층 (호계동)","울산광역시 북구 호계로 275, B동 3층 (호계동)",0,,,2019
빵터짐,2019-08-19,,,,,영업/정상,울산광역시 중구 반구동 442-2,"울산광역시 중구 화합로 366-1, 3층 (반구동)","울산광역시 중구 화합로 366-1, 3층 (반구동)",0,,,2019
(주)케이제이 스포츠센터,2019-08-18,,,,,영업/정상,울산광역시 중구 서동 55-4번지 케이제이 스포츠센터,"울산광역시 중구 북부순환도로 862, 케이제이 스포츠센터 4층 (서동)","울산광역시 중구 북부순환도로 862, 케이제이 스포츠센터 4층 (서동)",0,,,2019
메디핏 트레이닝센터,2019-12-10,,,,,영업/정상,울산광역시 남구 삼산동 1551-1,"울산광역시 남구 화합로210번길 2, 4층 (삼산동)","울산광역시 남구 화합로210번길 2, 4층 (삼산동)",0,,,2019
마인드휘트니스 울산 송정2호점,2022-02-17,,,,,영업/정상,울산광역시 북구 송정동 1232-1 901~905호,"울산광역시 북구 화산로 123, 골드테라스 901~905호 (송정동)","울산광역시 북구 화산로 123, 골드테라스 901~905호 (송정동)",0,,,2022
클래식짐,2022-02-22,,,,,영업/정상,울산광역시 남구 옥동 248-9,"울산광역시 남구 대공원입구로21번길 10, 1층 (옥동)","울산광역시 남구 대공원입구로21번길 10, 1층 (옥동)",0,,,2022
더바디짐(주식회사 성모한빛),2022-03-03,,,,,영업/정상,울산광역시 동구 전하동 621-2,"울산광역시 동구 방어진순환도로 785, 8층 801호 (전하동)","울산광역시 동구 방어진순환도로 785, 8층 801호 (전하동)",0,,,2022
플레이돔 울산점,2022-03-22,,,,,영업/정상,울산광역시 남구 삼산동 1612-7,"울산광역시 남구 화합로 150, 6층 (삼산동)","울산광역시 남구 화합로 150, 6층 (삼산동)",0,,,2022
부티앤피지크,2022-03-04,,,,,영업/정상,울산광역시 중구 태화동 479-8,"울산광역시 중구 태화강국가정원길 205, 5층 (태화동)","울산광역시 중구 태화강국가정원길 205, 5층 (태화동)",0,,,2022
염포용천약수탕,2020-01-02,,,,,영업/정상,울산광역시 북구 염포동 999-4,"울산광역시 북구 성내1길 7-1, 2층 (염포동)","울산광역시 북구 성내1길 7-1, 2층 (염포동)",0,,,2020
엘 퍼스널 트레이닝,2020-03-18,,,,,영업/정상,울산광역시 중구 남외동 510-1,"울산광역시 중구 남외3길 7, 대우프라자 3층 5호 (남외동)","울산광역시 중구 남외3길 7, 대우프라자 3층 5호 (남외동)",0,,,2020
JO GYM,2021-12-22,,,,,영업/정상,울산광역시 남구 무거동 815-10,"울산광역시 남구 신복로62번길 17, 2층 201호 (무거동)","울산광역시 남구 신복로62번길 17, 2층 201호 (무거동)",0,,,2021
레스트짐,2021-12-17,,,,,영업/정상,울산광역시 남구 무거동 859-4,"울산광역시 남구 대학로 159, 3층 (무거동)","울산광역시 남구 대학로 159, 3층 (무거동)",0,,,2021
트리니티 피티스튜디오,2021-12-16,,,,,영업/정상,울산광역시 울주군 언양읍 남부리 139-1,"울산광역시 울주군 언양읍 헌양길 27, 3층 301호","울산광역시 울주군 언양읍 헌양길 27, 3층 301호",0,,,2021
더멋짐 휘트니스 센터,2020-06-01,,,,,영업/정상,울산광역시 북구 명촌동 698-1,"울산광역시 북구 명촌20길 35, 3층 (명촌동)","울산광역시 북구 명촌20길 35, 3층 (명촌동)",0,,,2020
천휘트니스,2021-10-26,,,,,영업/정상,울산광역시 울주군 온양읍 대안리 403-5,"울산광역시 울주군 온양읍 연안4길 35, 2층","울산광역시 울주군 온양읍 연안4길 35, 2층",0,,,2021
더 라스트 짐2,2021-11-26,,,,,영업/정상,울산광역시 북구 신천동 30,"울산광역시 북구 동대로 142, 2층 (신천동)","울산광역시 북구 동대로 142, 2층 (신천동)",0,,,2021
MK GYM,2021-10-22,,,,,영업/정상,울산광역시 북구 매곡동 297 서희파크 D동,"울산광역시 북구 매곡산업로 152, 서희파크 D동 D동 4층 (매곡동)","울산광역시 북구 매곡산업로 152, 서희파크 D동 D동 4층 (매곡동)",0,,,2021
코어피트니스 우정점,2021-11-04,,,,,영업/정상,울산광역시 중구 우정동 725-16,"울산광역시 중구 유곡로 20, 3층 (우정동)","울산광역시 중구 유곡로 20, 3층 (우정동)",0,,,2021
깨움피티,2021-09-30,,,,,영업/정상,울산광역시 남구 달동 1328-3,"울산광역시 남구 돋질로 232, 2층 (달동)","울산광역시 남구 돋질로 232, 2층 (달동)",0,,,2021
탑스짐,2021-12-08,,,,,영업/정상,울산광역시 남구 삼산동 190-4,"울산광역시 남구 돋질로 404, 1층 (삼산동)","울산광역시 남구 돋질로 404, 1층 (삼산동)",0,,,2021
코어피트니스 1호점,2020-06-30,,,,,영업/정상,울산광역시 남구 신정동 1632-17 종하빌딩,"울산광역시 남구 문수로 414, 종하빌딩 4층 (신정동)","울산광역시 남구 문수로 414, 종하빌딩 4층 (신정동)",0,,,2020
2080EMS트레이닝센터,2020-07-02,,,,,영업/정상,울산광역시 울주군 언양읍 동부리 253-7,"울산광역시 울주군 언양읍 동부6길 5, 2, 3층","울산광역시 울주군 언양읍 동부6길 5, 2, 3층",0,,,2020
올바른 필라테스 앤 바른 핏,2020-07-01,,,,,영업/정상,울산광역시 남구 야음동 692-6 승원빌딩,"울산광역시 남구 수암로 165, 7층 (야음동)","울산광역시 남구 수암로 165, 7층 (야음동)",0,,,2020
핏플레이스,2021-07-06,,,,,영업/정상,울산광역시 동구 방어동 58-9,"울산광역시 동구 동진로 87, 2층 (방어동)","울산광역시 동구 동진로 87, 2층 (방어동)",0,,,2021
마인드휘트니스 울산태화점,2021-09-23,,,,,영업/정상,울산광역시 중구 태화동 37-29,"울산광역시 중구 명륜로 23, GS THE FRESH 울산태화점 B동 2층 (태화동)","울산광역시 중구 명륜로 23, GS THE FRESH 울산태화점 B동 2층 (태화동)",0,,,2021
보니토필라테스,2021-09-03,,,,,영업/정상,울산광역시 울주군 온산읍 덕신리 280-3,"울산광역시 울주군 온산읍 덕남로 29, 2층","울산광역시 울주군 온산읍 덕남로 29, 2층",0,,,2021
케마짐,2022-11-18,,,,,영업/정상,울산광역시 남구 신정동 1233-2,"울산광역시 남구 수암로 15-9, 3층 (신정동)","울산광역시 남구 수암로 15-9, 3층 (신정동)",0,,,2022
바비짐,2021-05-24,,,,,영업/정상,울산광역시 동구 서부동 181-6,"울산광역시 동구 방어진순환도로 941, 6층 (서부동)","울산광역시 동구 방어진순환도로 941, 6층 (서부동)",0,,,2021
어셈블짐,2021-05-18,,,,,영업/정상,울산광역시 남구 달동 1322-12,"울산광역시 남구 돋질로 241, 3층 (달동)","울산광역시 남구 돋질로 241, 3층 (달동)",0,,,2021
