사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
우먼파워에어로빅,2008-09-23,,,,,취소/말소/만료/정지/중지,전라북도 전주시 덕진구 우아동3가 732-5번지,전라북도 전주시 덕진구 백제대로 781  (우아동3가),전라북도 전주시 덕진구 백제대로 781  (우아동3가),0,,,2008
홍농 헬스클럽,2003-02-12,20200622.0,,,,취소/말소/만료/정지/중지,전라남도 영광군 홍농읍 상하리 539-1번지,전라남도 영광군 홍농읍 상하길 3,전라남도 영광군 홍농읍 상하길 3,1,2020-06-22,2020,2003
리더스 스포츠클럽,2006-06-12,20200608.0,,,,취소/말소/만료/정지/중지,전라남도 영광군 영광읍 단주리 630-9번지,전라남도 영광군 영광읍 옥당로 169,전라남도 영광군 영광읍 옥당로 169,1,2020-06-08,2020,2006
태정헬스,2007-11-07,20200608.0,,,,취소/말소/만료/정지/중지,전라남도 영광군 영광읍 백학리 47번지 6층,전라남도 영광군 영광읍 현암길 45-7,전라남도 영광군 영광읍 현암길 45-7,1,2020-06-08,2020,2007
탑 휘트니스,2004-03-31,20131221.0,,,,취소/말소/만료/정지/중지,경기도 의왕시 삼동 277-6번지,경기도 의왕시 부곡복지관길 6 (삼동),경기도 의왕시 부곡복지관길 6 (삼동),1,2013-12-21,2013,2004
청주헬스스포츠센타,2002-11-13,,,,,취소/말소/만료/정지/중지,충청북도 청주시 청원구 율량동 854번지 4층,"충청북도 청주시 청원구 충청대로139번길 37  (율량동,4층)","충청북도 청주시 청원구 충청대로139번길 37  (율량동,4층)",0,,,2002
올에이휘트니스센타,2002-12-18,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 용암동 2610-0번지,충청북도 청주시 상당구 용암북로138번길 11  (용암동),충청북도 청주시 상당구 용암북로138번길 11  (용암동),0,,,2002
신흥체육관,1993-01-20,,,,,취소/말소/만료/정지/중지,충청북도 청주시 청원구 율량동 1043-1번지 3층,"충청북도 청주시 청원구 충청대로 121  (율량동,3층)","충청북도 청주시 청원구 충청대로 121  (율량동,3층)",0,,,1993
충북헬스,1994-01-17,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 남문로2가 116-247번지,,충청북도 청주시 상당구 남문로2가 116-247번지,0,,,1994
우경헬스,1998-04-07,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 용암동 1617-0번지 6층,"충청북도 청주시 상당구 월평로184번길 62  (용암동,6층)","충청북도 청주시 상당구 월평로184번길 62  (용암동,6층)",0,,,1998
헬스clinic,2003-02-06,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 남주동 99번지 4층,,충청북도 청주시 상당구 남주동 99번지 4층,0,,,2003
엑스포헬스,1996-10-24,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 석교동 44-7번지 3층,,충청북도 청주시 상당구 석교동 44-7번지 3층,0,,,1996
용암헬스스트레칭,1995-11-16,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 용암동 1634-0번지 (3층),"충청북도 청주시 상당구 월평로184번길 17  (용암동,(3층))","충청북도 청주시 상당구 월평로184번길 17  (용암동,(3층))",0,,,1995
중곡문화체육센터,2008-10-24,20150707.0,,,,취소/말소/만료/정지/중지,서울특별시 광진구 중곡동 168-8번지,서울특별시 광진구 능동로 433 (중곡동),서울특별시 광진구 능동로 433 (중곡동),1,2015-07-07,2015,2008
(주)한듬레포츠,2010-02-23,20100224.0,,,,취소/말소/만료/정지/중지,광주광역시 광산구 수완동 136-6번지,광주광역시 광산구 왕버들로 217  (수완동),광주광역시 광산구 왕버들로 217  (수완동),1,2010-02-24,2010,2010
삼호 헬스,2012-09-28,20121130.0,,,,취소/말소/만료/정지/중지,인천광역시 연수구 연수동 596-6번지 303호,"인천광역시 연수구 용담로 111, 303호 (연수동)","인천광역시 연수구 용담로 111, 303호 (연수동)",1,2012-11-30,2012,2012
구리시청소년수련관,2003-02-17,20160310.0,,,,취소/말소/만료/정지/중지,경기도 구리시 인창동 673-4번지,"경기도 구리시 건원대로34번길 32-10 (인창동, 구리청소년수련관)","경기도 구리시 건원대로34번길 32-10 (인창동, 구리청소년수련관)",1,2016-03-10,2016,2003
감골시민헬스장,2002-02-01,20151030.0,,,,취소/말소/만료/정지/중지,경기도 안산시 상록구 사동 1342번지,경기도 안산시 상록구 석호로 226 (사동),경기도 안산시 상록구 석호로 226 (사동),1,2015-10-30,2015,2002
