사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
청주헬스스포츠센타,2002-11-13,,,,,취소/말소/만료/정지/중지,충청북도 청주시 청원구 율량동 854번지 4층,"충청북도 청주시 청원구 충청대로139번길 37  (율량동,4층)","충청북도 청주시 청원구 충청대로139번길 37  (율량동,4층)",0,,,2002
올에이휘트니스센타,2002-12-18,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 용암동 2610-0번지,충청북도 청주시 상당구 용암북로138번길 11  (용암동),충청북도 청주시 상당구 용암북로138번길 11  (용암동),0,,,2002
신흥체육관,1993-01-20,,,,,취소/말소/만료/정지/중지,충청북도 청주시 청원구 율량동 1043-1번지 3층,"충청북도 청주시 청원구 충청대로 121  (율량동,3층)","충청북도 청주시 청원구 충청대로 121  (율량동,3층)",0,,,1993
충북헬스,1994-01-17,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 남문로2가 116-247번지,,충청북도 청주시 상당구 남문로2가 116-247번지,0,,,1994
우경헬스,1998-04-07,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 용암동 1617-0번지 6층,"충청북도 청주시 상당구 월평로184번길 62  (용암동,6층)","충청북도 청주시 상당구 월평로184번길 62  (용암동,6층)",0,,,1998
헬스clinic,2003-02-06,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 남주동 99번지 4층,,충청북도 청주시 상당구 남주동 99번지 4층,0,,,2003
엑스포헬스,1996-10-24,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 석교동 44-7번지 3층,,충청북도 청주시 상당구 석교동 44-7번지 3층,0,,,1996
용암헬스스트레칭,1995-11-16,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 용암동 1634-0번지 (3층),"충청북도 청주시 상당구 월평로184번길 17  (용암동,(3층))","충청북도 청주시 상당구 월평로184번길 17  (용암동,(3층))",0,,,1995
스컬휘트니스,2018-11-07,,,,,영업/정상,충청북도 음성군 대소면 삼정리 611-41,"충청북도 음성군 대소면 대동로 863, 2층","충청북도 음성군 대소면 대동로 863, 2층",0,,,2018
더쎈짐,2019-02-20,,,,,영업/정상,충청북도 옥천군 옥천읍 금구리 2-3 마트,"충청북도 옥천군 옥천읍 관성로 5, 마트 2층","충청북도 옥천군 옥천읍 관성로 5, 마트 2층",0,,,2019
메디포스 운동 재활센터,2019-02-20,,,,,영업/정상,충청북도 청주시 흥덕구 복대동 49-4번지 메디포스빌딩,"충청북도 청주시 흥덕구 복대로 179, 메디포스빌딩 9층 (복대동)","충청북도 청주시 흥덕구 복대로 179, 메디포스빌딩 9층 (복대동)",0,,,2019
D.GYM 2호점,2019-02-15,,,,,영업/정상,충청북도 충주시 연수동 1551 대명프라자 202호,"충청북도 충주시 연수동산로3길 20, 대명프라자 2층 202호 (연수동)","충청북도 충주시 연수동산로3길 20, 대명프라자 2층 202호 (연수동)",0,,,2019
THE건강해GYM,2019-03-05,,,,,영업/정상,충청북도 청주시 흥덕구 가경동 130-1번지,"충청북도 청주시 흥덕구 가경로 115, 5층 (가경동)","충청북도 청주시 흥덕구 가경로 115, 5층 (가경동)",0,,,2019
위너스휘트니스,2019-03-19,,,,,영업/정상,충청북도 제천시 신백동 207-2번지,"충청북도 제천시 신백로 43, 2층 (신백동)","충청북도 제천시 신백로 43, 2층 (신백동)",0,,,2019
GYMSEUNG GYM,2019-03-20,,,,,영업/정상,충청북도 청주시 흥덕구 복대동 2961,"충청북도 청주시 흥덕구 진재로 32, 4층 (복대동)","충청북도 청주시 흥덕구 진재로 32, 4층 (복대동)",0,,,2019
골든타임 핏 용담점,2019-02-22,,,,,영업/정상,충청북도 청주시 상당구 용담동 478번지 3층호,"충청북도 청주시 상당구 수영로353번길 11, 3층 (용담동)","충청북도 청주시 상당구 수영로353번길 11, 3층 (용담동)",0,,,2019
비토짐,2019-03-12,,,,,영업/정상,충청북도 청주시 흥덕구 비하동 224-3,"충청북도 청주시 흥덕구 2순환로 1124, 303호 (비하동)","충청북도 청주시 흥덕구 2순환로 1124, 303호 (비하동)",0,,,2019
괴산헬스프라자,2019-04-23,,,,,영업/정상,충청북도 괴산군 괴산읍 동부리 699-5번지 삼성디지털프라자,"충청북도 괴산군 괴산읍 읍내로 257, 삼성디지털프라자 2층","충청북도 괴산군 괴산읍 읍내로 257, 삼성디지털프라자 2층",0,,,2019
세컨브레스,2019-05-20,,,,,영업/정상,충청북도 청주시 서원구 분평동 1265 4층,"충청북도 청주시 서원구 원마루로 24, 4층 (분평동)","충청북도 청주시 서원구 원마루로 24, 4층 (분평동)",0,,,2019
새서울 휘트니스 & 필라테스,2019-05-08,,,,,영업/정상,충청북도 단양군 단양읍 도전리 631 단양농협회관,"충청북도 단양군 단양읍 수변로 81, 단양농협회관 3층","충청북도 단양군 단양읍 수변로 81, 단양농협회관 3층",0,,,2019
마이셀핏(MYSELFIT),2019-04-26,,,,,영업/정상,충청북도 청주시 상당구 용암동 2627 대상코스모빌딩,"충청북도 청주시 상당구 중고개로 181, 대상코스모빌딩 7층 703,704호 (용암동)","충청북도 청주시 상당구 중고개로 181, 대상코스모빌딩 7층 703,704호 (용암동)",0,,,2019
