,사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,도로명전체주소
0,우먼파워에어로빅,20080923,,,,,취소/말소/만료/정지/중지,전라북도 전주시 덕진구 백제대로 781  (우아동3가)
1,홍농 헬스클럽,20030212,20200622.0,,,,취소/말소/만료/정지/중지,전라남도 영광군 홍농읍 상하길 3
2,리더스 스포츠클럽,20060612,20200608.0,,,,취소/말소/만료/정지/중지,전라남도 영광군 영광읍 옥당로 169
3,태정헬스,20071107,20200608.0,,,,취소/말소/만료/정지/중지,전라남도 영광군 영광읍 현암길 45-7
4,탑 휘트니스,20040331,20131221.0,,,,취소/말소/만료/정지/중지,경기도 의왕시 부곡복지관길 6 (삼동)
5,청주헬스스포츠센타,20021113,,,,,취소/말소/만료/정지/중지,"충청북도 청주시 청원구 충청대로139번길 37  (율량동,4층)"
6,올에이휘트니스센타,20021218,,,,,취소/말소/만료/정지/중지,충청북도 청주시 상당구 용암북로138번길 11  (용암동)
7,신흥체육관,19930120,,,,,취소/말소/만료/정지/중지,"충청북도 청주시 청원구 충청대로 121  (율량동,3층)"
8,충북헬스,19940117,,,,,취소/말소/만료/정지/중지,
9,우경헬스,19980407,,,,,취소/말소/만료/정지/중지,"충청북도 청주시 상당구 월평로184번길 62  (용암동,6층)"
10,헬스clinic,20030206,,,,,취소/말소/만료/정지/중지,
11,엑스포헬스,19961024,,,,,취소/말소/만료/정지/중지,
12,용암헬스스트레칭,19951116,,,,,취소/말소/만료/정지/중지,"충청북도 청주시 상당구 월평로184번길 17  (용암동,(3층))"
13,중곡문화체육센터,20081024,20150707.0,,,,취소/말소/만료/정지/중지,서울특별시 광진구 능동로 433 (중곡동)
14,(주)한듬레포츠,20100223,20100224.0,,,,취소/말소/만료/정지/중지,광주광역시 광산구 왕버들로 217  (수완동)
15,삼호 헬스,20120928,20121130.0,,,,취소/말소/만료/정지/중지,"인천광역시 연수구 용담로 111, 303호 (연수동)"
16,구리시청소년수련관,20030217,20160310.0,,,,취소/말소/만료/정지/중지,"경기도 구리시 건원대로34번길 32-10 (인창동, 구리청소년수련관)"
17,감골시민헬스장,20020201,20151030.0,,,,취소/말소/만료/정지/중지,경기도 안산시 상록구 석호로 226 (사동)
18,종로동부여성문화센터,20040713,20150824.0,,,,취소/말소/만료/정지/중지,서울특별시 종로구 창신길 124 (창신동)
19,종로청소년문화센터,20041111,20150824.0,,,,취소/말소/만료/정지/중지,서울특별시 종로구 명륜길 90 (명륜3가)
20,금정산온천레포츠,20050325,20210413.0,,,,취소/말소/만료/정지/중지,"부산광역시 금정구 구서중앙로15번길 20, 금정산온천 4층 (구서동)"
21,여주국민체육센터(체력단련실),20140220,20210129.0,,,,취소/말소/만료/정지/중지,경기도 여주시 여양로 190-17 (천송동)
22,"24시월드사우나,찜질방",20070411,20090106.0,,,,취소/말소/만료/정지/중지,"경상남도 거제시 옥포대첩로6길 13  (옥포동,6층)"
23,동대문구민체육센터,20040715,20150904.0,,,,취소/말소/만료/정지/중지,"서울특별시 동대문구 장안벚꽃로 67 (장안동, 동대문구민 체육센터)"
24,낙원헬스,19930222,,,,,폐업,경기도 부천시 송내대로30번길 74-16 (송내동)
25,송내헬스,20071217,,,,,폐업,경기도 부천시 경인로150번길 25 (송내동)
