시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,문화체육업종명,공사립구분명,보험가입여부코드,회원모집총인원
가평군,시골근육,20200724,,13,영업중,,,,12463,경기도 가평군 설악면 한서로 206,경기도 가평군 설악면 위곡리 783-3 ,12463,37.6687568296,127.5128018248,,245175.357146563    ,463057.27262895     ,체력단련장업,사립,,
가평군,멋GYM휘트니스센터,20170510,,13,영업중,,031-584-9682,,12438,경기도 가평군 조종면 현창로 25,경기도 가평군 조종면 현리 410-18 ,12438,37.8170639997,127.3485031334,,230605.289982947    ,479450.708603684    ,체력단련장업,사립,Y,
가평군,BBMC헬스클럽,20170113,,13,영업중,,031-582-5694,,12414,경기도 가평군 가평읍 석봉로 209 (준수대중목욕탕),경기도 가평군 가평읍 읍내리 637-6번지 ,12414,37.8335948277,127.5094128844,,244761.403866509    ,481369.982042247    ,체력단련장업,사립,Y,
가평군,Y휘트니스,20171116,,13,영업중,,0507-1421-9397,,12465,경기도 가평군 설악면 신천중앙로 130,경기도 가평군 설악면 신천리 450-1 ,12465,37.6781309920,127.4894760638,,243111.83628749     ,464082.615740347    ,체력단련장업,사립,,
가평군,스페이스 헬스클럽,20040209,,13,영업중,,031-584-6151,,12451,경기도 가평군 청평면 경춘로 807-11,경기도 가평군 청평면 청평리 445-3 ,477813,37.7378877954,127.4170231764,,236685.159494236    ,470682.541552787    ,체력단련장업,사립,,
가평군,뉴라온다이어트캠프,20170404,,13,영업중,,,,12400,"경기도 가평군 북면 가화로 2901, 약속의섬레저타운",경기도 가평군 북면 적목리 103-3 뉴라온다이어트캠프 ,12400,37.9792580120,127.4463346964,,239140.034270923    ,497504.874918587    ,체력단련장업,사립,,
가평군,휘트니스 짐,20200928,,13,영업중,,031-581-0588,,12413,"경기도 가평군 가평읍 가화로 133, 현대떡방앗간 2층",경기도 가평군 가평읍 읍내리 452 현대떡방앗간 ,12413,37.8313474685,127.5126707717,,245060.369774881    ,481098.5674658      ,체력단련장업,사립,,
가평군,에이치핏,20191121,,13,영업중,,0507-1328-2905,,12416,경기도 가평군 가평읍 석봉로 35,경기도 가평군 가평읍 대곡리 402-8 ,12416,37.8187562292,127.5111120302,,244934.867758148    ,479699.789220835    ,체력단련장업,사립,,
가평군,(주)라온다이어트캠프,20170405,,13,영업중,,1522-1791,,12400,경기도 가평군 북면 가화로 2901 (약속의섬레저타운),경기도 가평군 북면 적목리 103-3번지,12400,37.9793578,127.4462193,,239140.034270923,497504.874918587,체력단련장업,사립,Y,
가평군,휘트니스짐,20020418,,03,폐업,20100906,581-0588,,477805,경기도 가평군 가평읍 가화로 133,경기도 가평군 가평읍 읍내리 452번지,477801,37.8312657,127.5125774,,245060.369774881,481098.5674658,체력단련장업,사립,,
가평군,SH휘트니스,20150324,,03,폐업,20180517,070-8152-6291,,12451,경기도 가평군 청평면 경춘로 871,경기도 가평군 청평면 청평리 301-4번지,477815,37.7413548,127.4227294,,237196.25026367,471079.448196032,체력단련장업,사립,,
가평군,몸짱휘트니스헬스장,20060817,,03,폐업,20211201,031-585-6115,,12453,경기도 가평군 청평면 강변로 45-7,경기도 가평군 청평면 청평리 82-7 강변로 45-7 ,477815,37.7342916659,127.4172768687,,236781.68621100000  ,470591.85266500000  ,체력단련장업,사립,,0
가평군,설악스포츠,20001130,,03,폐업,20120227,584-6820,,,,경기도 가평군 설악면 신천리 434번지,477853,37.6786679,127.4902545,,,,체력단련장업,사립,N,
가평군,영헬스타운,20010725,,03,폐업,20100824,585-1352,,477834,경기도 가평군 하면 조종새싹로 30,경기도 가평군 하면 현리 283-3번지,477831,37.8211187,127.3497088,,230792.05544100000,480227.44733700000,체력단련장업,사립,,
가평군,현리헬스클럽,20020723,,03,폐업,20081020,584-3393,,477832,경기도 가평군 하면 조종새싹로 46,경기도 가평군 하면 현리 231-17번지,477831,37.8227331,127.3491257,,230746.33369100000,480391.98067700000,체력단련장업,사립,,
가평군,BBMC헬스클럽,20101005,,03,폐업,20170111,031-582-5694,,12414,경기도 가평군 가평읍 석봉로 209,"경기도 가평군 가평읍 읍내리 637-6번지 준수상가 304, 306호",477805,37.8337309,127.5091866,,244761.403866509,481369.982042247,체력단련장업,사립,,100
가평군,시골근육,20191227,,03,폐업,20200720,,,12467,"경기도 가평군 설악면 한서로 18-8, 2층",경기도 가평군 설악면 신천리 151-11 ,12467,37.6759951920,127.4952711857,,243621.262133559    ,463848.415201634    ,체력단련장업,사립,,
가평군,그린헬스클럽,19970702,,03,폐업,20141224,,,477805,경기도 가평군 가평읍 가화로 104-1,경기도 가평군 가평읍 읍내리 350-1번지,477805,37.8289879,127.5142997,,245232.332361064,480858.203846266,체력단련장업,사립,,
가평군,빅스포츠타운,19950410,,03,폐업,20110221,,,477815,경기도 가평군 청평면 강변로 47,경기도 가평군 청평면 청평리 79-5번지,477815,37.7339131,127.4175938,,236745.999691725,470251.844621491,체력단련장업,사립,,
가평군,클럽인너(club inner),20130621,,03,폐업,20160610,581-9857,,12428,경기도 가평군 가평읍 북한강변로 382,경기도 가평군 가평읍 금대리 46번지,477803,37.7638007,127.5415527,,247680.413871724,473355.639121916,체력단련장업,사립,Y,
가평군,영헬스,20100915,,03,폐업,20120621,,,477834,경기도 가평군 하면 조종새싹로 30,경기도 가평군 하면 현리 283-3번지,477834,37.8211187,127.3497088,,230792.05544100000,480227.44733700000,체력단련장업,사립,,100
가평군,(주)라온코리아(라온 다이어트 캠프),20160308,,03,폐업,20170724,,,12401,경기도 가평군 북면 가화로 2266 (명지산스타벨리),경기도 가평군 북면 도대리 산 73-1번지,12401,37.9464723,127.4812669,,242239.358294903,493869.27769642,체력단련장업,사립,Y,
가평군,휘트니스 짐,20100909,,03,폐업,20200925,031)581-0588,,12413,경기도 가평군 가평읍 가화로 133,경기도 가평군 가평읍 읍내리 452 2층 ,477805,37.8313474685,127.5126707717,,245060.369774881    ,481098.5674658      ,체력단련장업,사립,,150
